"Harvested_Date","Mobile_id","location_id","Lot_ID","Date&Time","IP_ID","Item_Name","Quantity","Harvesting_ID","Field_ID","Date of Cooling","IP_Date","Subsequent_ID","Outbreak"
"2023-05-23",114,53,"LOT3058_IP_2023-05-23_53","2022-07-07","IP3058","Pepper Jack Cheese",442,"H3058",20,"2022-07-07","2022-07-07","R3058","no"
"2023-06-22",225,104,"LOT3059_IP_2023-06-22_104","2022-02-20","IP3059","Halloumi Cheese",776,"H3059",38,"2022-02-21","2022-02-21","R3059","no"
"2023-06-17",101,47,"LOT3060_IP_2023-06-17_47","2022-03-14","IP3060","Cheese Curds Cheese",401,"H3060",17,"2022-03-14","2022-03-14","R3060","no"
"2023-04-15",12,6,"LOT3061_IP_2023-04-15_6","2022-12-30","IP3061","Mozarilla Cheese",133,"H3061",3,"2022-12-29","2022-12-29","R3061","no"
"2023-05-01",299,138,"LOT3062_IP_2023-05-01_138","2022-10-19","IP3062","Grated Parmesan Cheese",998,"H3062",50,"2022-10-19","2022-10-19","R3062","yes"
"2023-04-12",50,23,"LOT3063_IP_2023-04-12_23","2023-01-12","IP3063","Bocconcini Cheese",248,"H3063",9,"2023-01-11","2023-01-11","R3063","no"
"2023-04-02",167,77,"LOT3064_IP_2023-04-02_77","2023-03-01","IP3064","Cottage Cheese",600,"H3064",28,"2023-02-28","2023-02-28","R3064","no"
"2023-06-14",18,9,"LOT3065_IP_2023-06-14_9","2022-03-26","IP3065","Mozarilla Cheese",152,"H3065",4,"2022-03-26","2022-03-26","R3065","no"
"2023-04-03",271,125,"LOT3066_IP_2023-04-03_125","2023-02-24","IP3066","Limburger Cheese",914,"H3066",45,"2023-02-23","2023-02-23","R3066","yes"
"2023-06-06",167,77,"LOT3067_IP_2023-06-06_77","2022-05-02","IP3067","Cottage Cheese",600,"H3067",28,"2022-05-02","2022-05-02","R3067","no"
"2023-04-16",152,70,"LOT3068_IP_2023-04-16_70","2022-12-27","IP3068","Cotija Cheese",554,"H3068",26,"2022-12-26","2022-12-26","R3068","no"
"2023-04-19",210,97,"LOT3069_IP_2023-04-19_97","2022-12-12","IP3069","Gorgonzola Cheese",729,"H3069",35,"2022-12-12","2022-12-12","R3069","no"
"2023-06-21",72,34,"LOT3070_IP_2023-06-21_34","2022-02-23","IP3070"," Burrata Cheese",314,"H3070",13,"2022-02-23","2022-02-23","R3070","no"
"2023-05-08",99,46,"LOT3071_IP_2023-05-08_46","2022-09-15","IP3071","Cheese Curds Cheese",394,"H3071",17,"2022-09-14","2022-09-14","R3071","no"
"2023-06-21",215,99,"LOT3072_IP_2023-06-21_99","2022-02-24","IP3072","Farmer Made Organic Cheese",744,"H3072",36,"2022-02-24","2022-02-24","R3072","no"
"2023-05-01",117,54,"LOT3073_IP_2023-05-01_54","2022-10-18","IP3073","Pepper Jack Cheese",450,"H3073",20,"2022-10-18","2022-10-18","R3073","no"
"2023-06-07",299,138,"LOT3074_IP_2023-06-07_138","2022-05-01","IP3074","Grated Parmesan Cheese",998,"H3074",50,"2022-05-01","2022-05-01","R3074","yes"
"2023-05-12",53,25,"LOT3075_IP_2023-05-12_25","2022-08-25","IP3075","Bocconcini Cheese",256,"H3075",9,"2022-08-25","2022-08-25","R3075","no"
"2023-05-25",296,136,"LOT3076_IP_2023-05-25_136","2022-06-30","IP3076","Grated Parmesan Cheese",988,"H3076",49,"2022-06-30","2022-06-30","R3076","yes"
"2023-07-05",95,44,"LOT3077_IP_2023-07-05_44","2021-12-22","IP3077","Cheddar Mix Cheese",383,"H3077",16,"2021-12-23","2021-12-23","R3077","no"
"2023-07-02",119,55,"LOT3078_IP_2023-07-02_55","2022-01-05","IP3078","Swiss Cheese",456,"H3078",20,"2022-01-05","2022-01-05","R3078","no"
"2023-04-10",234,108,"LOT3079_IP_2023-04-10_108","2023-01-24","IP3079","Halloumi Cheese",801,"H3079",39,"2023-01-23","2023-01-23","R3079","no"
"2023-04-16",273,126,"LOT3080_IP_2023-04-16_126","2022-12-26","IP3080","Limburger Cheese",920,"H3080",46,"2022-12-26","2022-12-26","R3080","yes"
"2023-05-25",272,125,"LOT3081_IP_2023-05-25_125","2022-06-28","IP3081","Limburger Cheese",914,"H3081",45,"2022-06-28","2022-06-28","R3081","yes"
"2023-03-28",179,83,"LOT3082_IP_2023-03-28_83","2023-03-24","IP3082","Creame Cheese",635,"H3082",30,"2023-03-23","2023-03-23","R3082","no"
"2023-08-02",45,21,"LOT3083_IP_2023-08-02_21","2021-08-15","IP3083","Bocconcini Cheese",234,"H3083",8,"2021-08-16","2021-08-16","R3083","no"
"2023-07-02",248,114,"LOT3084_IP_2023-07-02_114","2022-01-06","IP3084","Havati Cheese",845,"H3084",42,"2022-01-06","2022-01-06","R3084","no"
"2023-07-30",46,21,"LOT3085_IP_2023-07-30_21","2021-08-25","IP3085","Bocconcini Cheese",235,"H3085",8,"2021-08-26","2021-08-26","R3085","no"
"2023-04-10",1,1,"LOT3086_IP_2023-04-10_1","2023-01-23","IP3086","Blue Cheese",101,"H3086",1,"2023-01-22","2023-01-22","R3086","no"
"2023-04-04",126,58,"LOT3087_IP_2023-04-04_58","2023-02-17","IP3087","Swiss Cheese",477,"H3087",22,"2023-02-16","2023-02-16","R3087","no"
"2023-06-15",98,45,"LOT3088_IP_2023-06-15_45","2022-03-23","IP3088","Cheese Curds Cheese",392,"H3088",17,"2022-03-23","2022-03-23","R3088","no"
"2023-07-17",276,127,"LOT3089_IP_2023-07-17_127","2021-10-25","IP3089","Limburger Cheese",927,"H3089",46,"2021-10-26","2021-10-26","R3089","yes"
"2023-03-29",88,41,"LOT3090_IP_2023-03-29_41","2023-03-19","IP3090","Cheddar Mix Cheese",363,"H3090",15,"2023-03-18","2023-03-18","R3090","no"
"2023-07-17",188,87,"LOT3091_IP_2023-07-17_87","2021-10-26","IP3091","Emmental Cheese",662,"H3091",32,"2021-10-27","2021-10-27","R3091","no"
"2023-05-31",244,112,"LOT3092_IP_2023-05-31_112","2022-05-29","IP3092","Gruyere Cheese",832,"H3092",41,"2022-05-29","2022-05-29","R3092","no"
"2023-04-29",58,27,"LOT3093_IP_2023-04-29_27","2022-10-28","IP3093","Brie Cheese",273,"H3093",10,"2022-10-28","2022-10-28","R3093","no"
"2023-06-21",144,67,"LOT3094_IP_2023-06-21_67","2022-02-22","IP3094","Cold_Pack Cheese",532,"H3094",24,"2022-02-22","2022-02-22","R3094","no"
"2023-04-19",280,129,"LOT3095_IP_2023-04-19_129","2022-12-14","IP3095","Monterey Jack Cheese",938,"H3095",47,"2022-12-13","2022-12-13","R3095","yes"
"2023-07-17",212,98,"LOT3096_IP_2023-07-17_98","2021-10-28","IP3096","Gorgonzola Cheese",736,"H3096",36,"2021-10-29","2021-10-29","R3096","no"
"2023-04-15",180,83,"LOT3097_IP_2023-04-15_83","2022-12-29","IP3097","Creame Cheese",638,"H3097",30,"2022-12-28","2022-12-28","R3097","no"
"2023-06-03",109,50,"LOT3098_IP_2023-06-03_50","2022-05-18","IP3098","Pepper Jack Cheese",424,"H3098",19,"2022-05-18","2022-05-18","R3098","no"
"2023-04-20",24,12,"LOT3099_IP_2023-04-20_12","2022-12-06","IP3099","American Cheese",171,"H3099",5,"2022-12-06","2022-12-06","SP99","no"
"2023-05-25",57,27,"LOT3100_IP_2023-05-25_27","2022-06-28","IP3100","Brie Cheese",268,"H3100",10,"2022-06-28","2022-06-28","R3100","no"
"2023-05-16",284,131,"LOT3101_IP_2023-05-16_131","2022-08-11","IP3101","Monterey Jack Cheese",953,"H3101",47,"2022-08-11","2022-08-11","R3101","yes"
"2023-07-03",265,122,"LOT3102_IP_2023-07-03_122","2021-12-28","IP3102","Jarlsberg Cheese",893,"H3102",44,"2021-12-29","2021-12-29","R3102","no"
"2023-05-10",104,48,"LOT3103_IP_2023-05-10_48","2022-09-04","IP3103","Cheese Curds Cheese",410,"H3103",18,"2022-09-04","2022-09-04","R3103","no"
"2023-04-06",177,82,"LOT3104_IP_2023-04-06_82","2023-02-11","IP3104","Creame Cheese",631,"H3104",30,"2023-02-10","2023-02-10","R3104","no"
"2023-07-07",151,70,"LOT3105_IP_2023-07-07_70","2021-12-09","IP3105","Cotija Cheese",553,"H3105",26,"2021-12-10","2021-12-10","R3105","no"
"2023-06-02",25,12,"LOT3106_IP_2023-06-02_12","2022-05-20","IP3106","American Cheese",173,"H3106",5,"2022-05-20","2022-05-20","SP106","no"
"2023-07-05",52,24,"LOT3107_IP_2023-07-05_24","2021-12-23","IP3107","Bocconcini Cheese",252,"H3107",9,"2021-12-23","2021-12-23","R3107","no"
"2023-04-09",2,1,"LOT3108_IP_2023-04-09_1","2023-01-27","IP3108","Blue Cheese",102,"H3108",1,"2023-01-27","2023-01-27","R3108","no"
"2023-07-08",176,81,"LOT3109_IP_2023-07-08_81","2021-12-08","IP3109","Creame Cheese",628,"H3109",30,"2021-12-08","2021-12-08","R3109","no"
"2023-07-15",145,67,"LOT3110_IP_2023-07-15_67","2021-11-05","IP3110","Cold_Pack Cheese",534,"H3110",25,"2021-11-05","2021-11-05","R3110","no"
"2023-05-25",203,94,"LOT3111_IP_2023-05-25_94","2022-06-27","IP3111","Feta Cheese",708,"H3111",34,"2022-06-27","2022-06-27","R3111","no"
"2023-04-13",214,99,"LOT3112_IP_2023-04-13_99","2023-01-08","IP3112","Gorgonzola Cheese",742,"H3112",36,"2023-01-07","2023-01-07","R3112","no"
"2023-05-16",220,102,"LOT3113_IP_2023-05-16_102","2022-08-09","IP3113","Farmer Made Organic Cheese",760,"H3113",37,"2022-08-09","2022-08-09","R3113","no"
"2023-05-21",13,7,"LOT3114_IP_2023-05-21_7","2022-07-18","IP3114","Mozarilla Cheese",136,"H3114",3,"2022-07-18","2022-07-18","R3114","no"
"2023-07-30",219,101,"LOT3115_IP_2023-07-30_101","2021-08-28","IP3115","Farmer Made Organic Cheese",755,"H3115",37,"2021-08-29","2021-08-29","R3115","no"
"2023-06-03",249,115,"LOT3116_IP_2023-06-03_115","2022-05-16","IP3116","Havati Cheese",846,"H3116",42,"2022-05-16","2022-05-16","R3116","no"
"2023-05-05",9,5,"LOT3117_IP_2023-05-05_5","2022-09-30","IP3117","Blue Cheese",124,"H3117",2,"2022-09-29","2022-09-29","R3117","no"
"2023-07-01",297,137,"LOT3118_IP_2023-07-01_137","2022-01-07","IP3118","Grated Parmesan Cheese",992,"H3118",50,"2022-01-08","2022-01-08","R3118","yes"
"2023-07-17",251,116,"LOT3119_IP_2023-07-17_116","2021-10-27","IP3119","Havati Cheese",854,"H3119",42,"2021-10-27","2021-10-27","R3119","no"
"2023-06-17",144,67,"LOT3120_IP_2023-06-17_67","2022-03-13","IP3120","Cold_Pack Cheese",531,"H3120",24,"2022-03-13","2022-03-13","R3120","no"
"2023-07-29",125,58,"LOT3121_IP_2023-07-29_58","2021-09-02","IP3121","Swiss Cheese",473,"H3121",21,"2021-09-03","2021-09-03","R3121","no"
"2023-07-06",78,36,"LOT3122_IP_2023-07-06_36","2021-12-18","IP3122","Camembert Cheese",331,"H3122",14,"2021-12-18","2021-12-18","R3122","no"
"2023-04-16",55,26,"LOT3123_IP_2023-04-16_26","2022-12-24","IP3123","Brie Cheese",262,"H3123",10,"2022-12-23","2022-12-23","R3123","no"
"2023-07-11",217,100,"LOT3124_IP_2023-07-11_100","2021-11-24","IP3124","Farmer Made Organic Cheese",752,"H3124",36,"2021-11-25","2021-11-25","R3124","no"
"2023-05-31",243,112,"LOT3125_IP_2023-05-31_112","2022-05-31","IP3125","Gruyere Cheese",829,"H3125",41,"2022-05-31","2022-05-31","R3125","no"
"2023-05-08",113,52,"LOT3126_IP_2023-05-08_52","2022-09-16","IP3126","Pepper Jack Cheese",437,"H3126",19,"2022-09-16","2022-09-16","R3126","no"
"2023-05-19",65,30,"LOT3127_IP_2023-05-19_30","2022-07-28","IP3127","Brie Cheese",292,"H3127",11,"2022-07-28","2022-07-28","R3127","no"
"2023-07-27",151,70,"LOT3128_IP_2023-07-27_70","2021-09-10","IP3128","Cotija Cheese",552,"H3128",26,"2021-09-11","2021-09-11","R3128","no"
"2023-04-12",147,68,"LOT3129_IP_2023-04-12_68","2023-01-12","IP3129","Cold_Pack Cheese",541,"H3129",25,"2023-01-11","2023-01-11","R3129","no"
"2023-05-26",80,37,"LOT3130_IP_2023-05-26_37","2022-06-25","IP3130","Camembert Cheese",339,"H3130",14,"2022-06-25","2022-06-25","R3130","no"
"2023-05-02",280,129,"LOT3131_IP_2023-05-02_129","2022-10-13","IP3131","Monterey Jack Cheese",938,"H3131",47,"2022-10-13","2022-10-13","R3131","yes"
"2023-04-28",205,95,"LOT3132_IP_2023-04-28_95","2022-10-30","IP3132","Gorgonzola Cheese",715,"H3132",35,"2022-10-29","2022-10-29","R3132","no"
"2023-05-06",261,120,"LOT3133_IP_2023-05-06_120","2022-09-25","IP3133","Jarlsberg Cheese",883,"H3133",44,"2022-09-25","2022-09-25","R3133","no"
"2023-03-30",167,77,"LOT3134_IP_2023-03-30_77","2023-03-13","IP3134","Cottage Cheese",599,"H3134",28,"2023-03-12","2023-03-12","R3134","no"
"2023-05-22",165,76,"LOT3135_IP_2023-05-22_76","2022-07-13","IP3135","Cottage Cheese",593,"H3135",28,"2022-07-13","2022-07-13","R3135","no"
"2023-05-02",171,79,"LOT3136_IP_2023-05-02_79","2022-10-12","IP3136","Cottage Cheese",613,"H3136",29,"2022-10-12","2022-10-12","R3136","no"
"2023-06-18",13,7,"LOT3137_IP_2023-06-18_7","2022-03-09","IP3137","Mozarilla Cheese",136,"H3137",3,"2022-03-10","2022-03-10","R3137","no"
"2023-07-03",166,77,"LOT3138_IP_2023-07-03_77","2021-12-29","IP3138","Cottage Cheese",597,"H3138",28,"2021-12-30","2021-12-30","R3138","no"
"2023-06-27",153,70,"LOT3139_IP_2023-06-27_70","2022-01-28","IP3139","Cotija Cheese",556,"H3139",26,"2022-01-29","2022-01-29","R3139","no"
"2023-05-11",3,2,"LOT3140_IP_2023-05-11_2","2022-09-01","IP3140","Blue Cheese",105,"H3140",1,"2022-09-01","2022-09-01","R3140","no"
"2023-07-08",158,73,"LOT3141_IP_2023-07-08_73","2021-12-08","IP3141","Cotija Cheese",571,"H3141",27,"2021-12-09","2021-12-09","R3141","no"
"2023-05-14",144,67,"LOT3142_IP_2023-05-14_67","2022-08-20","IP3142","Cold_Pack Cheese",532,"H3142",24,"2022-08-20","2022-08-20","R3142","no"
"2023-04-03",27,13,"LOT3143_IP_2023-04-03_13","2023-02-23","IP3143","American Cheese",178,"H3143",5,"2023-02-22","2023-02-22","SP143","no"
"2023-05-26",173,80,"LOT3144_IP_2023-05-26_80","2022-06-23","IP3144","Creame Cheese",617,"H3144",29,"2022-06-23","2022-06-23","R3144","no"
"2023-07-01",185,85,"LOT3145_IP_2023-07-01_85","2022-01-10","IP3145","Emmental Cheese",654,"H3145",31,"2022-01-11","2022-01-11","R3145","no"
"2023-05-01",286,132,"LOT3146_IP_2023-05-01_132","2022-10-18","IP3146","Monterey Jack Cheese",959,"H3146",48,"2022-10-17","2022-10-17","R3146","yes"
"2023-07-12",141,65,"LOT3147_IP_2023-07-12_65","2021-11-16","IP3147","Cold_Pack Cheese",520,"H3147",24,"2021-11-17","2021-11-17","R3147","no"
"2023-05-31",76,35,"LOT3148_IP_2023-05-31_35","2022-06-02","IP3148","Camembert Cheese",327,"H3148",13,"2022-06-02","2022-06-02","R3148","no"
"2023-07-13",95,44,"LOT3149_IP_2023-07-13_44","2021-11-15","IP3149","Cheddar Mix Cheese",381,"H3149",16,"2021-11-16","2021-11-16","R3149","no"
"2023-06-18",98,45,"LOT3150_IP_2023-06-18_45","2022-03-08","IP3150","Cheese Curds Cheese",392,"H3150",17,"2022-03-09","2022-03-09","R3150","no"
"2023-06-09",32,15,"LOT3151_IP_2023-06-09_15","2022-04-18","IP3151","American Cheese",193,"H3151",6,"2022-04-18","2022-04-18","SP151","no"
"2023-05-12",76,35,"LOT3152_IP_2023-05-12_35","2022-08-28","IP3152"," Burrata Cheese",325,"H3152",13,"2022-08-28","2022-08-28","R3152","no"
"2023-05-10",84,39,"LOT3153_IP_2023-05-10_39","2022-09-05","IP3153","Camembert Cheese",351,"H3153",15,"2022-09-04","2022-09-04","R3153","no"
"2023-06-14",272,125,"LOT3154_IP_2023-06-14_125","2022-03-26","IP3154","Limburger Cheese",916,"H3154",45,"2022-03-26","2022-03-26","R3154","yes"
"2023-07-08",122,56,"LOT3155_IP_2023-07-08_56","2021-12-09","IP3155","Swiss Cheese",465,"H3155",21,"2021-12-09","2021-12-09","R3155","no"
"2023-03-30",230,106,"LOT3156_IP_2023-03-30_106","2023-03-12","IP3156","Halloumi Cheese",788,"H3156",38,"2023-03-11","2023-03-11","R3156","no"
"2023-05-16",153,71,"LOT3157_IP_2023-05-16_71","2022-08-08","IP3157","Cotija Cheese",559,"H3157",26,"2022-08-08","2022-08-08","R3157","no"
"2023-03-29",246,113,"LOT3158_IP_2023-03-29_113","2023-03-17","IP3158","Gruyere Cheese",839,"H3158",41,"2023-03-16","2023-03-16","R3158","no"
"2023-06-27",73,34,"LOT3159_IP_2023-06-27_34","2022-01-27","IP3159"," Burrata Cheese",317,"H3159",13,"2022-01-28","2022-01-28","R3159","no"
"2023-05-29",227,105,"LOT3160_IP_2023-05-29_105","2022-06-08","IP3160","Halloumi Cheese",780,"H3160",38,"2022-06-08","2022-06-08","R3160","no"
"2023-04-14",109,51,"LOT3161_IP_2023-04-14_51","2023-01-03","IP3161","Pepper Jack Cheese",426,"H3161",19,"2023-01-02","2023-01-02","R3161","no"
"2023-06-09",201,93,"LOT3162_IP_2023-06-09_93","2022-04-20","IP3162","Feta Cheese",703,"H3162",34,"2022-04-20","2022-04-20","R3162","no"
"2023-05-31",163,75,"LOT3163_IP_2023-05-31_75","2022-06-02","IP3163","Cottage Cheese",587,"H3163",27,"2022-06-02","2022-06-02","R3163","no"
