"Date of Landing","Lot_ID","Product_Desc","Quantity","Harvesting_Details","Lot_ID_Desc","Outbreak"
"2022-11-08",7143,"Jumbo Lump Crab MEat",600,"Windmill Pond","LOT7143 2022-11-08 Windmill Pond","yes"
"2021-09-25",7158,"Jumbo Lump Crab MEat",601,"Windmill Pond","LOT7158 2021-09-25 Windmill Pond","yes"
"2022-01-12",1441,"Crab or Crab Meat",201,"Camp Area Fishing","LOT1441 2022-01-12 Camp Area Fishing","no"
"2023-02-02",1841,"Lobster",229,"Camp Area Fishing","LOT1841 2023-02-02 Camp Area Fishing","no"
"2021-09-17",8698,"Claws Crab Meat",709,"Fishing Pier","LOT8698 2021-09-17 Fishing Pier","yes"
"2022-11-16",5258,"File_Fish",468,"Beaverdam Creek","LOT5258 2022-11-16 Beaverdam Creek","no"
"2022-09-11",5732,"Frog_fish",501,"Bullfrog Fishing Hole","LOT5732 2022-09-11 Bullfrog Fishing Hole","no"
"2022-02-12",5454,"Frog_fish",482,"Beaverdam Creek","LOT5454 2022-02-12 Beaverdam Creek","no"
"2021-08-10",3781,"Ballon_Fish",365,"DragonFLy Park","LOT3781 2021-08-10 DragonFLy Park","no"
"2022-03-18",1244,"Crab or Crab Meat",187,"Pond Area Fishing","LOT1244 2022-03-18 Pond Area Fishing","no"
"2022-03-27",4181,"Ballon_Fish",393,"DragonFLy Park","LOT4181 2022-03-27 DragonFLy Park","no"
"2022-10-28",956,"Shrimp",167,"Pond Area Fishing","LOT956 2022-10-28 Pond Area Fishing","no"
"2022-04-22",2591,"Tuna",281,"Feild Point Fishing","LOT2591 2022-04-22 Feild Point Fishing","no"
"2022-10-20",2529,"Tuna",277,"Feild Point Fishing","LOT2529 2022-10-20 Feild Point Fishing","no"
"2021-11-13",8888,"Claws Crab Meat",722,"Aldred Pond","LOT8888 2021-11-13 Aldred Pond","yes"
"2021-12-14",5129,"File_Fish",459,"Beaverdam Creek","LOT5129 2021-12-14 Beaverdam Creek","no"
"2023-03-21",4906,"File_Fish",443,"Quail Ridge Lake Access","LOT4906 2023-03-21 Quail Ridge Lake Access","no"
"2021-12-08",8051,"Cocktail Claws Carb Meat",664,"Silver Lake Regional Park","LOT8051 2021-12-08 Silver Lake Regional Park","yes"
"2021-10-08",2107,"Tuna",247,"Scout high point fishing","LOT2107 2021-10-08 Scout high point fishing","no"
"2022-09-20",9497,"Item",765,"Tippecanoe Lake","LOT9497 2022-09-20 Tippecanoe Lake","yes"
"2021-08-28",276,"Salmon",119,"Outshore Fishing Area","LOT276 2021-08-28 Outshore Fishing Area","no"
"2022-10-08",6833,"Red_Snaper_Fish",578,"Horsepen Pond","LOT6833 2022-10-08 Horsepen Pond","no"
"2023-01-20",4329,"Cat_Fish",403,"DragonFLy Park","LOT4329 2023-01-20 DragonFLy Park","no"
"2022-12-12",1920,"Lobster",234,"Scout high point fishing","LOT1920 2022-12-12 Scout high point fishing","no"
"2021-09-07",3982,"Ballon_Fish",379,"DragonFLy Park","LOT3982 2021-09-07 DragonFLy Park","no"
"2023-01-02",3782,"Ballon_Fish",365,"DragonFLy Park","LOT3782 2023-01-02 DragonFLy Park","no"
"2022-05-28",3478,"Angel_Fish",343,"Lake Birchwood","LOT3478 2022-05-28 Lake Birchwood","no"
"2022-07-19",4983,"File_Fish",449,"Quail Ridge Lake Access","LOT4983 2022-07-19 Quail Ridge Lake Access","no"
"2022-04-04",842,"Shrimp",159,"Pond Area Fishing","LOT842 2022-04-04 Pond Area Fishing","no"
"2023-02-02",3944,"Ballon_Fish",376,"DragonFLy Park","LOT3944 2023-02-02 DragonFLy Park","no"
"2022-09-01",6663,"Red_Snaper_Fish",566,"Horsepen Pond","LOT6663 2022-09-01 Horsepen Pond","no"
"2022-12-30",9778,"Item",784,"Tippecanoe Lake","LOT9778 2022-12-30 Tippecanoe Lake","yes"
"2022-12-03",6498,"Red_Snaper_Fish",555,"Horsepen Pond","LOT6498 2022-12-03 Horsepen Pond","no"
"2022-02-03",8146,"Cocktail Claws Carb Meat",670,"Fishing Pier","LOT8146 2022-02-03 Fishing Pier","yes"
"2022-06-29",2439,"Tuna",271,"Scout high point fishing","LOT2439 2022-06-29 Scout high point fishing","no"
"2022-07-31",546,"Shrimp",138,"Outshore Fishing Area","LOT546 2022-07-31 Outshore Fishing Area","no"
"2022-06-27",3796,"Ballon_Fish",366,"DragonFLy Park","LOT3796 2022-06-27 DragonFLy Park","no"
"2022-02-06",7507,"Lump Crab Meat",625,"Silver Lake Regional Park","LOT7507 2022-02-06 Silver Lake Regional Park","yes"
"2022-02-28",3342,"Angel_Fish",334,"Lake Birchwood","LOT3342 2022-02-28 Lake Birchwood","no"
"2022-12-27",364,"Salmon",125,"Outshore Fishing Area","LOT364 2022-12-27 Outshore Fishing Area","no"
"2022-10-13",9977,"Item",798,"Tippecanoe Lake","LOT9977 2022-10-13 Tippecanoe Lake","yes"
"2023-01-09",1641,"Lobster",215,"Camp Area Fishing","LOT1641 2023-01-09 Camp Area Fishing","no"
"2023-02-28",5557,"Frog_fish",489,"Beaverdam Creek","LOT5557 2023-02-28 Beaverdam Creek","no"
"2022-03-13",582,"Shrimp",141,"Outshore Fishing Area","LOT582 2022-03-13 Outshore Fishing Area","no"
"2023-02-23",9044,"COLOSSAL LUMP crab Meat",733,"Aldred Pond","LOT9044 2023-02-23 Aldred Pond","yes"
"2022-04-20",5561,"Frog_fish",489,"Beaverdam Creek","LOT5561 2022-04-20 Beaverdam Creek","no"
"2022-12-24",5043,"File_Fish",453,"Beaverdam Creek","LOT5043 2022-12-24 Beaverdam Creek","no"
"2022-12-09",6991,"Jumbo Lump Crab MEat",589,"Windmill Pond","LOT6991 2022-12-09 Windmill Pond","no"
"2022-02-08",2383,"Tuna",267,"Scout high point fishing","LOT2383 2022-02-08 Scout high point fishing","no"
"2022-09-08",3262,"Angel_Fish",328,"Lake Birchwood","LOT3262 2022-09-08 Lake Birchwood","no"
"2022-02-09",7155,"Jumbo Lump Crab MEat",601,"Windmill Pond","LOT7155 2022-02-09 Windmill Pond","yes"
"2022-10-13",3893,"Ballon_Fish",372,"DragonFLy Park","LOT3893 2022-10-13 DragonFLy Park","no"
"2022-04-19",9978,"Item",798,"Tippecanoe Lake","LOT9978 2022-04-19 Tippecanoe Lake","yes"
"2022-08-17",1733,"Lobster",221,"Camp Area Fishing","LOT1733 2022-08-17 Camp Area Fishing","no"
"2022-06-20",9870,"Item",791,"Tippecanoe Lake","LOT9870 2022-06-20 Tippecanoe Lake","yes"
"2021-12-06",3145,"White_Fish",320,"Lake Birchwood","LOT3145 2021-12-06 Lake Birchwood","no"
"2021-12-20",3952,"Ballon_Fish",377,"DragonFLy Park","LOT3952 2021-12-20 DragonFLy Park","no"
"2023-01-22",7786,"Lump Crab Meat",645,"Silver Lake Regional Park","LOT7786 2023-01-22 Silver Lake Regional Park","yes"
"2022-12-23",9106,"COLOSSAL LUMP crab Meat",737,"Aldred Pond","LOT9106 2022-12-23 Aldred Pond","yes"
"2022-06-18",9049,"COLOSSAL LUMP crab Meat",733,"Aldred Pond","LOT9049 2022-06-18 Aldred Pond","yes"
"2023-03-24",5950,"Gold Fish",516,"Bullfrog Fishing Hole","LOT5950 2023-03-24 Bullfrog Fishing Hole","no"
"2021-07-25",1485,"Crab or Crab Meat",204,"Camp Area Fishing","LOT1485 2021-07-25 Camp Area Fishing","no"
"2021-12-20",8276,"Cocktail Claws Carb Meat",679,"Fishing Pier","LOT8276 2021-12-20 Fishing Pier","yes"
"2021-08-04",1497,"Crab or Crab Meat",205,"Camp Area Fishing","LOT1497 2021-08-04 Camp Area Fishing","no"
"2023-01-21",12,"Salmon",101,"Outshore Fishing Area","LOT12 2023-01-21 Outshore Fishing Area","no"
"2023-02-16",4186,"Ballon_Fish",393,"DragonFLy Park","LOT4186 2023-02-16 DragonFLy Park","no"
"2022-03-09",3246,"Angel_Fish",327,"Lake Birchwood","LOT3246 2022-03-09 Lake Birchwood","no"
"2021-10-06",9186,"COLOSSAL LUMP crab Meat",743,"Aldred Pond","LOT9186 2021-10-06 Aldred Pond","yes"
"2023-03-19",2924,"White_Fish",305,"Feild Point Fishing","LOT2924 2023-03-19 Feild Point Fishing","no"
"2021-10-07",6245,"Gold Fish",537,"Bullfrog Fishing Hole","LOT6245 2021-10-07 Bullfrog Fishing Hole","no"
"2022-05-18",8135,"Cocktail Claws Carb Meat",669,"Fishing Pier","LOT8135 2022-05-18 Fishing Pier","yes"
"2022-10-23",1919,"Lobster",234,"Scout high point fishing","LOT1919 2022-10-23 Scout high point fishing","no"
"2022-02-07",4795,"File_Fish",436,"Quail Ridge Lake Access","LOT4795 2022-02-07 Quail Ridge Lake Access","no"
"2022-12-10",9315,"COLOSSAL LUMP crab Meat",752,"Aldred Pond","LOT9315 2022-12-10 Aldred Pond","yes"
"2021-10-09",7072,"Jumbo Lump Crab MEat",595,"Windmill Pond","LOT7072 2021-10-09 Windmill Pond","yes"
"2022-12-26",5983,"Gold Fish",519,"Bullfrog Fishing Hole","LOT5983 2022-12-26 Bullfrog Fishing Hole","no"
"2022-05-07",3604,"Angel_Fish",352,"Lake Birchwood","LOT3604 2022-05-07 Lake Birchwood","no"
"2022-12-02",787,"Shrimp",155,"Pond Area Fishing","LOT787 2022-12-02 Pond Area Fishing","no"
"2022-06-18",1866,"Lobster",231,"Camp Area Fishing","LOT1866 2022-06-18 Camp Area Fishing","no"
"2022-08-03",9477,"Item",763,"Tippecanoe Lake","LOT9477 2022-08-03 Tippecanoe Lake","yes"
"2021-12-11",8815,"Claws Crab Meat",717,"Aldred Pond","LOT8815 2021-12-11 Aldred Pond","yes"
"2022-08-27",3445,"Angel_Fish",341,"Lake Birchwood","LOT3445 2022-08-27 Lake Birchwood","no"
"2023-02-10",5901,"Gold Fish",513,"Bullfrog Fishing Hole","LOT5901 2023-02-10 Bullfrog Fishing Hole","no"
"2021-11-22",5034,"File_Fish",452,"Beaverdam Creek","LOT5034 2021-11-22 Beaverdam Creek","no"
"2022-05-09",810,"Shrimp",157,"Pond Area Fishing","LOT810 2022-05-09 Pond Area Fishing","no"
"2021-12-06",1692,"Lobster",218,"Camp Area Fishing","LOT1692 2021-12-06 Camp Area Fishing","no"
"2023-01-25",25,"Salmon",102,"Outshore Fishing Area","LOT25 2023-01-25 Outshore Fishing Area","no"
"2021-11-20",5867,"Gold Fish",511,"Bullfrog Fishing Hole","LOT5867 2021-11-20 Bullfrog Fishing Hole","no"
"2021-10-17",4825,"File_Fish",438,"Quail Ridge Lake Access","LOT4825 2021-10-17 Quail Ridge Lake Access","no"
"2022-06-17",6753,"Red_Snaper_Fish",573,"Horsepen Pond","LOT6753 2022-06-17 Horsepen Pond","no"
"2023-01-05",7131,"Jumbo Lump Crab MEat",599,"Windmill Pond","LOT7131 2023-01-05 Windmill Pond","yes"
"2022-07-31",7338,"Jumbo Lump Crab MEat",614,"Windmill Pond","LOT7338 2022-07-31 Windmill Pond","yes"
"2022-07-09",406,"Salmon",128,"Outshore Fishing Area","LOT406 2022-07-09 Outshore Fishing Area","no"
"2021-08-07",7275,"Jumbo Lump Crab MEat",609,"Windmill Pond","LOT7275 2021-08-07 Windmill Pond","yes"
"2022-05-04",8291,"Cocktail Claws Carb Meat",680,"Fishing Pier","LOT8291 2022-05-04 Fishing Pier","yes"
"2022-09-23",267,"Salmon",119,"Outshore Fishing Area","LOT267 2022-09-23 Outshore Fishing Area","no"
"2021-12-22",9909,"Item",794,"Tippecanoe Lake","LOT9909 2021-12-22 Tippecanoe Lake","yes"
"2021-10-08",8376,"Cocktail Claws Carb Meat",686,"Fishing Pier","LOT8376 2021-10-08 Fishing Pier","yes"
"2022-02-27",4791,"File_Fish",435,"Quail Ridge Lake Access","LOT4791 2022-02-27 Quail Ridge Lake Access","no"
"2021-08-13",4150,"Ballon_Fish",390,"DragonFLy Park","LOT4150 2021-08-13 DragonFLy Park","no"
"2021-12-01",2565,"Tuna",280,"Feild Point Fishing","LOT2565 2021-12-01 Feild Point Fishing","no"
"2022-12-20",1796,"Lobster",226,"Camp Area Fishing","LOT1796 2022-12-20 Camp Area Fishing","no"
"2021-11-06",7240,"Jumbo Lump Crab MEat",607,"Windmill Pond","LOT7240 2021-11-06 Windmill Pond","yes"
"2022-05-20",8105,"Cocktail Claws Carb Meat",667,"Silver Lake Regional Park","LOT8105 2022-05-20 Silver Lake Regional Park","yes"
"2022-09-09",3741,"Ballon_Fish",362,"Lake Birchwood","LOT3741 2022-09-09 Lake Birchwood","no"
"2022-07-19",2130,"Tuna",249,"Scout high point fishing","LOT2130 2022-07-19 Scout high point fishing","no"
"2021-08-20",5027,"File_Fish",452,"Beaverdam Creek","LOT5027 2021-08-20 Beaverdam Creek","no"
"2023-01-09",4896,"File_Fish",443,"Quail Ridge Lake Access","LOT4896 2023-01-09 Quail Ridge Lake Access","no"
"2022-06-15",2652,"White_Fish",286,"Feild Point Fishing","LOT2652 2022-06-15 Feild Point Fishing","no"
"2022-10-07",9315,"COLOSSAL LUMP crab Meat",752,"Aldred Pond","LOT9315 2022-10-07 Aldred Pond","yes"
"2022-10-24",6837,"Red_Snaper_Fish",579,"Horsepen Pond","LOT6837 2022-10-24 Horsepen Pond","no"
"2022-09-18",8697,"Claws Crab Meat",709,"Fishing Pier","LOT8697 2022-09-18 Fishing Pier","yes"
"2023-03-13",5541,"Frog_fish",488,"Beaverdam Creek","LOT5541 2023-03-13 Beaverdam Creek","no"
"2022-07-04",5475,"Frog_fish",483,"Beaverdam Creek","LOT5475 2022-07-04 Beaverdam Creek","no"
"2022-10-06",5699,"Frog_fish",499,"Bullfrog Fishing Hole","LOT5699 2022-10-06 Bullfrog Fishing Hole","no"
"2022-02-23",405,"Salmon",128,"Outshore Fishing Area","LOT405 2022-02-23 Outshore Fishing Area","no"
"2021-12-13",5527,"Frog_fish",487,"Beaverdam Creek","LOT5527 2021-12-13 Beaverdam Creek","no"
"2022-01-13",5068,"File_Fish",455,"Beaverdam Creek","LOT5068 2022-01-13 Beaverdam Creek","no"
"2022-08-24",53,"Salmon",104,"Outshore Fishing Area","LOT53 2022-08-24 Outshore Fishing Area","no"
"2021-11-21",5239,"File_Fish",467,"Beaverdam Creek","LOT5239 2021-11-21 Beaverdam Creek","no"
"2022-08-12",4796,"File_Fish",436,"Quail Ridge Lake Access","LOT4796 2022-08-12 Quail Ridge Lake Access","no"
"2023-02-22",863,"Shrimp",160,"Pond Area Fishing","LOT863 2023-02-22 Pond Area Fishing","no"
"2022-06-13",5748,"Frog_fish",502,"Bullfrog Fishing Hole","LOT5748 2022-06-13 Bullfrog Fishing Hole","no"
"2021-12-25",6155,"Gold Fish",531,"Bullfrog Fishing Hole","LOT6155 2021-12-25 Bullfrog Fishing Hole","no"
"2022-10-12",9548,"Item",768,"Tippecanoe Lake","LOT9548 2022-10-12 Tippecanoe Lake","yes"
"2021-10-29",4672,"Cat_Fish",427,"Quail Ridge Lake Access","LOT4672 2021-10-29 Quail Ridge Lake Access","no"
"2022-05-22",2519,"Tuna",276,"Feild Point Fishing","LOT2519 2022-05-22 Feild Point Fishing","no"
"2021-10-28",3128,"White_Fish",319,"Lake Birchwood","LOT3128 2021-10-28 Lake Birchwood","no"
"2022-02-22",3246,"Angel_Fish",327,"Lake Birchwood","LOT3246 2022-02-22 Lake Birchwood","no"
"2022-04-05",1038,"Shrimp",173,"Pond Area Fishing","LOT1038 2022-04-05 Pond Area Fishing","no"
"2022-08-21",2499,"Tuna",275,"Scout high point fishing","LOT2499 2022-08-21 Scout high point fishing","no"
"2022-08-28",2793,"White_Fish",295,"Feild Point Fishing","LOT2793 2022-08-28 Feild Point Fishing","no"
"2022-03-12",9066,"COLOSSAL LUMP crab Meat",735,"Aldred Pond","LOT9066 2022-03-12 Aldred Pond","yes"
"2021-11-22",4051,"Ballon_Fish",384,"DragonFLy Park","LOT4051 2021-11-22 DragonFLy Park","no"
"2023-03-11",7646,"Lump Crab Meat",635,"Silver Lake Regional Park","LOT7646 2023-03-11 Silver Lake Regional Park","yes"
"2022-07-31",5095,"File_Fish",457,"Beaverdam Creek","LOT5095 2022-07-31 Beaverdam Creek","no"
"2023-03-16",8206,"Cocktail Claws Carb Meat",674,"Fishing Pier","LOT8206 2023-03-16 Fishing Pier","yes"
"2022-01-12",2410,"Tuna",269,"Scout high point fishing","LOT2410 2022-01-12 Scout high point fishing","no"
"2022-05-28",7561,"Lump Crab Meat",629,"Silver Lake Regional Park","LOT7561 2022-05-28 Silver Lake Regional Park","yes"
"2022-12-31",3624,"Angel_Fish",354,"Lake Birchwood","LOT3624 2022-12-31 Lake Birchwood","no"
"2022-04-08",6701,"Red_Snaper_Fish",569,"Horsepen Pond","LOT6701 2022-04-08 Horsepen Pond","no"
"2022-05-22",5407,"Frog_fish",478,"Beaverdam Creek","LOT5407 2022-05-22 Beaverdam Creek","no"
"2021-12-21",9104,"COLOSSAL LUMP crab Meat",737,"Aldred Pond","LOT9104 2021-12-21 Aldred Pond","yes"
"2022-06-30",4123,"Ballon_Fish",389,"DragonFLy Park","LOT4123 2022-06-30 DragonFLy Park","no"
"2022-11-07",9747,"Item",782,"Tippecanoe Lake","LOT9747 2022-11-07 Tippecanoe Lake","yes"
"2022-03-08",3095,"White_Fish",317,"Feild Point Fishing","LOT3095 2022-03-08 Feild Point Fishing","no"
"2021-11-30",4495,"Cat_Fish",415,"Quail Ridge Lake Access","LOT4495 2021-11-30 Quail Ridge Lake Access","no"
"2022-01-29",1316,"Crab or Crab Meat",192,"Camp Area Fishing","LOT1316 2022-01-29 Camp Area Fishing","no"
"2022-09-24",9189,"COLOSSAL LUMP crab Meat",743,"Aldred Pond","LOT9189 2022-09-24 Aldred Pond","yes"
"2021-11-11",7103,"Jumbo Lump Crab MEat",597,"Windmill Pond","LOT7103 2021-11-11 Windmill Pond","yes"
"2022-02-18",5082,"File_Fish",456,"Beaverdam Creek","LOT5082 2022-02-18 Beaverdam Creek","no"
"2021-09-25",7613,"Lump Crab Meat",633,"Silver Lake Regional Park","LOT7613 2021-09-25 Silver Lake Regional Park","yes"
"2023-01-16",6777,"Red_Snaper_Fish",574,"Horsepen Pond","LOT6777 2023-01-16 Horsepen Pond","no"
"2023-03-23",4726,"Cat_Fish",431,"Quail Ridge Lake Access","LOT4726 2023-03-23 Quail Ridge Lake Access","no"
"2022-05-23",3901,"Ballon_Fish",373,"DragonFLy Park","LOT3901 2022-05-23 DragonFLy Park","no"
"2021-10-09",8540,"Claws Crab Meat",698,"Fishing Pier","LOT8540 2021-10-09 Fishing Pier","yes"
"2022-11-16",3087,"White_Fish",316,"Feild Point Fishing","LOT3087 2022-11-16 Feild Point Fishing","no"
"2021-09-28",7803,"Lump Crab Meat",646,"Silver Lake Regional Park","LOT7803 2021-09-28 Silver Lake Regional Park","yes"
"2023-01-26",1253,"Crab or Crab Meat",188,"Camp Area Fishing","LOT1253 2023-01-26 Camp Area Fishing","no"
"2021-08-15",8804,"Claws Crab Meat",716,"Aldred Pond","LOT8804 2021-08-15 Aldred Pond","yes"
"2022-04-15",9569,"Item",770,"Tippecanoe Lake","LOT9569 2022-04-15 Tippecanoe Lake","yes"
"2022-12-21",9634,"Item",774,"Tippecanoe Lake","LOT9634 2022-12-21 Tippecanoe Lake","yes"
"2021-10-25",4105,"Ballon_Fish",387,"DragonFLy Park","LOT4105 2021-10-25 DragonFLy Park","no"
"2022-02-08",9776,"Item",784,"Tippecanoe Lake","LOT9776 2022-02-08 Tippecanoe Lake","yes"
"2022-02-06",9123,"COLOSSAL LUMP crab Meat",739,"Aldred Pond","LOT9123 2022-02-06 Aldred Pond","yes"
"2023-03-11",7723,"Lump Crab Meat",641,"Silver Lake Regional Park","LOT7723 2023-03-11 Silver Lake Regional Park","yes"
"2022-09-16",1844,"Lobster",229,"Camp Area Fishing","LOT1844 2022-09-16 Camp Area Fishing","no"
"2023-02-08",3897,"Ballon_Fish",373,"DragonFLy Park","LOT3897 2023-02-08 DragonFLy Park","no"
"2022-04-03",8762,"Claws Crab Meat",713,"Aldred Pond","LOT8762 2022-04-03 Aldred Pond","yes"
"2022-12-20",7503,"Lump Crab Meat",625,"Silver Lake Regional Park","LOT7503 2022-12-20 Silver Lake Regional Park","yes"
"2021-11-25",8099,"Cocktail Claws Carb Meat",667,"Silver Lake Regional Park","LOT8099 2021-11-25 Silver Lake Regional Park","yes"
"2022-07-12",3999,"Ballon_Fish",380,"DragonFLy Park","LOT3999 2022-07-12 DragonFLy Park","no"
"2021-09-30",6495,"Red_Snaper_Fish",555,"Horsepen Pond","LOT6495 2021-09-30 Horsepen Pond","no"
"2021-09-24",2339,"Tuna",264,"Scout high point fishing","LOT2339 2021-09-24 Scout high point fishing","no"
"2022-01-26",737,"Shrimp",152,"Pond Area Fishing","LOT737 2022-01-26 Pond Area Fishing","no"
"2023-02-25",5865,"Gold Fish",511,"Bullfrog Fishing Hole","LOT5865 2023-02-25 Bullfrog Fishing Hole","no"
"2022-12-29",3386,"Angel_Fish",337,"Lake Birchwood","LOT3386 2022-12-29 Lake Birchwood","no"
"2022-04-14",8103,"Cocktail Claws Carb Meat",667,"Silver Lake Regional Park","LOT8103 2022-04-14 Silver Lake Regional Park","yes"
"2022-10-10",9897,"Item",793,"Tippecanoe Lake","LOT9897 2022-10-10 Tippecanoe Lake","yes"
"2022-05-13",490,"Salmon",134,"Outshore Fishing Area","LOT490 2022-05-13 Outshore Fishing Area","no"
"2022-05-30",875,"Shrimp",161,"Pond Area Fishing","LOT875 2022-05-30 Pond Area Fishing","no"
"2022-05-27",6414,"Red_Snaper_Fish",549,"Horsepen Pond","LOT6414 2022-05-27 Horsepen Pond","no"
"2021-12-02",6999,"Jumbo Lump Crab MEat",590,"Windmill Pond","LOT6999 2021-12-02 Windmill Pond","no"
"2021-10-22",8440,"Claws Crab Meat",691,"Fishing Pier","LOT8440 2021-10-22 Fishing Pier","yes"
"2022-02-27",2943,"White_Fish",306,"Feild Point Fishing","LOT2943 2022-02-27 Feild Point Fishing","no"
"2021-09-22",9195,"COLOSSAL LUMP crab Meat",744,"Aldred Pond","LOT9195 2021-09-22 Aldred Pond","yes"
"2021-08-24",5980,"Gold Fish",519,"Bullfrog Fishing Hole","LOT5980 2021-08-24 Bullfrog Fishing Hole","no"
"2021-10-13",2488,"Tuna",274,"Scout high point fishing","LOT2488 2021-10-13 Scout high point fishing","no"
"2023-01-13",2451,"Tuna",272,"Scout high point fishing","LOT2451 2023-01-13 Scout high point fishing","no"
"2022-10-18",8688,"Claws Crab Meat",708,"Fishing Pier","LOT8688 2022-10-18 Fishing Pier","yes"
"2022-12-25",1779,"Lobster",224,"Camp Area Fishing","LOT1779 2022-12-25 Camp Area Fishing","no"
"2022-08-29",6240,"Gold Fish",537,"Bullfrog Fishing Hole","LOT6240 2022-08-29 Bullfrog Fishing Hole","no"
"2022-09-02",1089,"Crab or Crab Meat",176,"Pond Area Fishing","LOT1089 2022-09-02 Pond Area Fishing","no"
"2022-10-30",1216,"Crab or Crab Meat",185,"Pond Area Fishing","LOT1216 2022-10-30 Pond Area Fishing","no"
"2022-02-13",9982,"Item",799,"Tippecanoe Lake","LOT9982 2022-02-13 Tippecanoe Lake","yes"
"2022-10-30",5906,"Gold Fish",513,"Bullfrog Fishing Hole","LOT5906 2022-10-30 Bullfrog Fishing Hole","no"
"2022-03-17",2759,"White_Fish",293,"Feild Point Fishing","LOT2759 2022-03-17 Feild Point Fishing","no"
"2022-05-30",84,"Salmon",106,"Outshore Fishing Area","LOT84 2022-05-30 Outshore Fishing Area","no"
"2022-03-12",5956,"Gold Fish",517,"Bullfrog Fishing Hole","LOT5956 2022-03-12 Bullfrog Fishing Hole","no"
"2022-07-07",9505,"Item",765,"Tippecanoe Lake","LOT9505 2022-07-07 Tippecanoe Lake","yes"
"2022-06-05",944,"Shrimp",166,"Pond Area Fishing","LOT944 2022-06-05 Pond Area Fishing","no"
"2022-05-18",2840,"White_Fish",299,"Feild Point Fishing","LOT2840 2022-05-18 Feild Point Fishing","no"
"2023-02-26",1298,"Crab or Crab Meat",191,"Camp Area Fishing","LOT1298 2023-02-26 Camp Area Fishing","no"
"2022-11-07",2850,"White_Fish",299,"Feild Point Fishing","LOT2850 2022-11-07 Feild Point Fishing","no"
"2021-10-13",1613,"Lobster",213,"Camp Area Fishing","LOT1613 2021-10-13 Camp Area Fishing","no"
"2021-12-09",775,"Shrimp",154,"Pond Area Fishing","LOT775 2021-12-09 Pond Area Fishing","no"
"2021-12-12",485,"Salmon",134,"Outshore Fishing Area","LOT485 2021-12-12 Outshore Fishing Area","no"
"2022-11-15",4452,"Cat_Fish",412,"Quail Ridge Lake Access","LOT4452 2022-11-15 Quail Ridge Lake Access","no"
"2021-08-09",4588,"Cat_Fish",421,"Quail Ridge Lake Access","LOT4588 2021-08-09 Quail Ridge Lake Access","no"
"2021-08-05",4031,"Ballon_Fish",382,"DragonFLy Park","LOT4031 2021-08-05 DragonFLy Park","no"
"2023-01-30",751,"Shrimp",153,"Pond Area Fishing","LOT751 2023-01-30 Pond Area Fishing","no"
"2022-08-06",2150,"Tuna",250,"Scout high point fishing","LOT2150 2022-08-06 Scout high point fishing","no"
