"Date of Cooling","Location_ID","Lot_ID","Sprouts_receipt Date","Initial_Packing_Date","Subsequent_ID","Harvested_Date","IP_ID","Item_Type","Quantity","Harvesting_ID","Field_ID","Mobile_ID","Outbreak"
"R3049",69,"LOT3049 2022-07-11_69","2022-07-29","2022-07-29","3049","2022-07-11","IP3049","Pumpkin Seed Sprouts",599,748,25,150,"no"
"R3050",13,"LOT3050 2022-04-04_13","2022-04-17","2022-04-18","3050","2022-04-04","IP3050","Mung Bean Sprouts",267,127,5,26,"no"
"R3051",55,"LOT3051 2023-01-10_55","2023-02-04","2023-02-04","3051","2023-01-10","IP3051","Kidney-Bean Sprouts",515,592,20,119,"no"
"R3052",92,"LOT3052 2022-08-20_92","2022-09-08","2022-09-09","3052","2022-08-20","IP3052","Green Lentil Sprouts",733,1000,34,200,"no"
"R3053",135,"LOT3053 2022-12-10_135","2023-01-02","2023-01-02","3053","2022-12-10","IP3053","Chickpeas Sprouts",982,1467,49,293,"yes"
"R3054",90,"LOT3054 2022-11-15_90","2022-12-08","2022-12-08","3054","2022-11-15","IP3054","Green Lentil Sprouts",720,975,33,195,"no"
"R3055",113,"LOT3055 2022-02-07_113","2022-02-19","2022-02-19","3055","2022-02-07","IP3055","Pea Sprouts",852,1222,41,245,"no"
"R3056",34,"LOT3056 2022-06-22_34","2022-07-09","2022-07-09","3056","2022-06-22","IP3056","Radish Srpouts",395,367,13,74,"no"
"R3057",8,"LOT3057 2022-07-21_8","2022-08-09","2022-08-09","3057","2022-07-21","IP3057","Alfalfa Sprouts",244,83,4,17,"no"
"R3058",53,"LOT3058 2022-06-20_53","2022-07-07","2022-07-08","3058","2022-06-20","IP3058","Kidney-Bean Sprouts",504,570,20,114,"no"
"R3059",104,"LOT3059 2022-02-09_104","2022-02-21","2022-02-22","3059","2022-02-09","IP3059","Sunflower Sprouts",801,1126,38,225,"no"
"R3060",47,"LOT3060 2022-03-02_47","2022-03-15","2022-03-15","3060","2022-03-02","IP3060","Wheatgrass Sprouts",467,502,17,101,"no"
"R3061",6,"LOT3061 2022-12-06_6","2022-12-30","2022-12-30","3061","2022-12-06","IP3061","Alfalfa Sprouts",229,55,3,12,"no"
"R3062",138,"LOT3062 2022-09-28_138","2022-10-19","2022-10-20","3062","2022-09-28","IP3062","Chickpeas Sprouts",998,1497,50,299,"yes"
"R3063",23,"LOT3063 2022-12-19_23","2023-01-12","2023-01-12","3063","2022-12-19","IP3063","Red Clover Sprouts",331,247,9,50,"no"
"R3064",77,"LOT3064 2023-02-03_77","2023-03-01","2023-03-01","3064","2023-02-03","IP3064","Mustard Sprouts",645,834,28,167,"no"
"R3065",9,"LOT3065 2022-03-14_9","2022-03-27","2022-03-27","3065","2022-03-14","IP3065","Alfalfa Sprouts",246,88,4,18,"no"
"R3066",125,"LOT3066 2023-01-29_125","2023-02-24","2023-02-24","3066","2023-01-29","IP3066","Seasame Sprouts",923,1357,45,271,"yes"
"R3067",77,"LOT3067 2022-04-18_77","2022-05-03","2022-05-03","3067","2022-04-18","IP3067","Mustard Sprouts",645,835,28,167,"no"
"R3068",70,"LOT3068 2022-12-04_70","2022-12-27","2022-12-27","3068","2022-12-04","IP3068","Mustard Sprouts",603,757,26,152,"no"
"R3069",97,"LOT3069 2022-11-20_97","2022-12-13","2022-12-13","3069","2022-11-20","IP3069","Onion Sprouts",759,1049,35,210,"no"
"R3070",34,"LOT3070 2022-02-12_34","2022-02-23","2022-02-24","3070","2022-02-12","IP3070","Radish Srpouts",391,358,13,72,"no"
"R3071",46,"LOT3071 2022-08-27_46","2022-09-15","2022-09-15","3071","2022-08-27","IP3071","Wheatgrass Sprouts",461,490,17,99,"no"
"R3072",99,"LOT3072 2022-02-13_99","2022-02-25","2022-02-25","3072","2022-02-13","IP3072","Onion Sprouts",772,1073,36,215,"no"
"R3073",54,"LOT3073 2022-09-28_54","2022-10-19","2022-10-19","3073","2022-09-28","IP3073","Kidney-Bean Sprouts",511,585,20,117,"no"
"R3074",138,"LOT3074 2022-04-17_138","2022-05-02","2022-05-02","3074","2022-04-17","IP3074","Chickpeas Sprouts",998,1497,50,299,"yes"
"R3075",25,"LOT3075 2022-08-07_25","2022-08-26","2022-08-26","3075","2022-08-07","IP3075","Red Clover Sprouts",339,261,9,53,"no"
"R3076",136,"LOT3076 2022-06-14_136","2022-07-01","2022-07-01","3076","2022-06-14","IP3076","Chickpeas Sprouts",990,1481,49,296,"yes"
"R3077",44,"LOT3077 2021-12-14_44","2021-12-23","2021-12-24","3077","2021-12-14","IP3077","Wheatgrass Sprouts",452,472,16,95,"no"
"R3078",55,"LOT3078 2021-12-27_55","2022-01-06","2022-01-06","3078","2021-12-27","IP3078","Kidney-Bean Sprouts",516,593,20,119,"no"
"R3079",108,"LOT3079 2022-12-31_108","2023-01-24","2023-01-24","3079","2022-12-31","IP3079","Sunflower Sprouts",823,1168,39,234,"no"
"R3080",126,"LOT3080 2022-12-03_126","2022-12-26","2022-12-27","3080","2022-12-03","IP3080","Seasame Sprouts",928,1366,46,273,"yes"
"R3081",125,"LOT3081 2022-06-12_125","2022-06-29","2022-06-29","3081","2022-06-12","IP3081","Seasame Sprouts",924,1357,45,272,"yes"
"R3082",83,"LOT3082 2023-02-25_83","2023-03-24","2023-03-24","3082","2023-02-25","IP3082","Soybean Sprouts",676,893,30,179,"no"
"R3083",21,"LOT3083 2021-08-12_21","2021-08-16","2021-08-17","3083","2021-08-12","IP3083","Red Clover Sprouts",319,224,8,45,"no"
"R3084",114,"LOT3084 2021-12-27_114","2022-01-06","2022-01-07","3084","2021-12-27","IP3084","Pea Sprouts",862,1242,42,248,"no"
"R3085",21,"LOT3085 2021-08-21_21","2021-08-26","2021-08-27","3085","2021-08-21","IP3085","Red Clover Sprouts",320,225,8,46,"no"
"R3086",1,"LOT3086 2022-12-30_1","2023-01-23","2023-01-23","3086","2022-12-30","IP3086","Alfalfa Sprouts",201,3,1,1,"no"
"R3087",58,"LOT3087 2023-01-23_58","2023-02-17","2023-02-17","3087","2023-01-23","IP3087","Kidney-Bean Sprouts",535,628,22,126,"no"
"R3088",45,"LOT3088 2022-03-10_45","2022-03-23","2022-03-24","3088","2022-03-10","IP3088","Wheatgrass Sprouts",460,487,17,98,"no"
"R3089",127,"LOT3089 2021-10-19_127","2021-10-26","2021-10-27","3089","2021-10-19","IP3089","Seasame Sprouts",935,1378,46,276,"yes"
"R3090",41,"LOT3090 2023-02-21_41","2023-03-19","2023-03-19","3090","2023-02-21","IP3090","Brocolli Sprouts",434,439,15,88,"no"
"R3091",87,"LOT3091 2021-10-20_87","2021-10-27","2021-10-28","3091","2021-10-20","IP3091","Soybean Sprouts",700,937,32,188,"no"
"R3092",112,"LOT3092 2022-05-14_112","2022-05-30","2022-05-30","3092","2022-05-14","IP3092","Pea Sprouts",851,1220,41,244,"no"
"R3093",27,"LOT3093 2022-10-07_27","2022-10-29","2022-10-29","3093","2022-10-07","IP3093","Radish Srpouts",353,289,10,58,"no"
"R3094",67,"LOT3094 2022-02-11_67","2022-02-22","2022-02-23","3094","2022-02-11","IP3094","Pumpkin Seed Sprouts",584,720,24,144,"no"
"R3095",129,"LOT3095 2022-11-21_129","2022-12-14","2022-12-14","3095","2022-11-21","IP3095","Seasame Sprouts",945,1397,47,280,"yes"
"R3096",98,"LOT3096 2021-10-21_98","2021-10-29","2021-10-30","3096","2021-10-21","IP3096","Onion Sprouts",766,1061,36,212,"no"
"R3097",83,"LOT3097 2022-12-06_83","2022-12-29","2022-12-29","3097","2022-12-06","IP3097","Soybean Sprouts",679,898,30,180,"no"
"R3098",50,"LOT3098 2022-05-04_50","2022-05-19","2022-05-19","3098","2022-05-04","IP3098","Wheatgrass Sprouts",488,541,19,109,"no"
"R3099",12,"LOT3099 2022-11-14_12","2022-12-06","2022-12-07","3099","2022-11-14","IP3099","Mung Bean Sprouts",263,119,5,24,"no"
"R3100",27,"LOT3100 2022-06-12_27","2022-06-28","2022-06-29","3100","2022-06-12","IP3100","Red Clover Sprouts",349,281,10,57,"no"
"R3101",131,"LOT3101 2022-07-24_131","2022-08-11","2022-08-12","3101","2022-07-24","IP3101","Chickpeas Sprouts",958,1422,47,284,"yes"
"R3102",122,"LOT3102 2021-12-19_122","2021-12-29","2021-12-30","3102","2021-12-19","IP3102","Seasame Sprouts",905,1322,44,265,"no"
"R3103",48,"LOT3103 2022-08-16_48","2022-09-04","2022-09-05","3103","2022-08-16","IP3103","Wheatgrass Sprouts",476,517,18,104,"no"
"R3104",82,"LOT3104 2023-01-17_82","2023-02-11","2023-02-11","3104","2023-01-17","IP3104","Soybean Sprouts",672,885,30,177,"no"
"R3105",70,"LOT3105 2021-12-01_70","2021-12-10","2021-12-11","3105","2021-12-01","IP3105","Mustard Sprouts",603,755,26,151,"no"
"R3106",12,"LOT3106 2022-05-06_12","2022-05-21","2022-05-21","3106","2022-05-06","IP3106","Mung Bean Sprouts",265,122,5,25,"no"
"R3107",24,"LOT3107 2021-12-14_24","2021-12-23","2021-12-24","3107","2021-12-14","IP3107","Red Clover Sprouts",335,254,9,52,"no"
"R3108",1,"LOT3108 2023-01-03_1","2023-01-28","2023-01-28","3108","2023-01-03","IP3108","Alfalfa Sprouts",202,5,1,2,"no"
"R3109",81,"LOT3109 2021-11-30_81","2021-12-08","2021-12-09","3109","2021-11-30","IP3109","Soybean Sprouts",669,880,30,176,"no"
"R3110",67,"LOT3110 2021-10-29_67","2021-11-05","2021-11-06","3110","2021-10-29","IP3110","Pumpkin Seed Sprouts",586,724,25,145,"no"
"R3111",94,"LOT3111 2022-06-11_94","2022-06-28","2022-06-28","3111","2022-06-11","IP3111","Green Lentil Sprouts",740,1013,34,203,"no"
"R3112",99,"LOT3112 2022-12-15_99","2023-01-08","2023-01-08","3112","2022-12-15","IP3112","Onion Sprouts",770,1070,36,214,"no"
"R3113",102,"LOT3113 2022-07-22_102","2022-08-09","2022-08-10","3113","2022-07-22","IP3113","Onion Sprouts",787,1101,37,220,"no"
"R3114",7,"LOT3114 2022-07-01_7","2022-07-19","2022-07-19","3114","2022-07-01","IP3114","Alfalfa Sprouts",232,62,3,13,"no"
"R3115",101,"LOT3115 2021-08-24_101","2021-08-29","2021-08-30","3115","2021-08-24","IP3115","Onion Sprouts",782,1092,37,219,"no"
"R3116",115,"LOT3116 2022-05-01_115","2022-05-16","2022-05-17","3116","2022-05-01","IP3116","Pea Sprouts",863,1244,42,249,"no"
"R3117",5,"LOT3117 2022-09-10_5","2022-09-30","2022-09-30","3117","2022-09-10","IP3117","Alfalfa Sprouts",221,41,2,9,"no"
"R3118",137,"LOT3118 2021-12-29_137","2022-01-08","2022-01-09","3118","2021-12-29","IP3118","Chickpeas Sprouts",993,1486,50,297,"yes"
"R3119",116,"LOT3119 2021-10-20_116","2021-10-27","2021-10-28","3119","2021-10-20","IP3119","Pea Sprouts",870,1257,42,251,"no"
"R3120",67,"LOT3120 2022-03-01_67","2022-03-14","2022-03-14","3120","2022-03-01","IP3120","Pumpkin Seed Sprouts",583,719,24,144,"no"
"R3121",58,"LOT3121 2021-08-29_58","2021-09-03","2021-09-04","3121","2021-08-29","IP3121","Kidney-Bean Sprouts",532,623,21,125,"no"
"R3122",36,"LOT3122 2021-12-09_36","2021-12-19","2021-12-19","3122","2021-12-09","IP3122","Brocolli Sprouts",405,385,14,78,"no"
"R3123",26,"LOT3123 2022-12-01_26","2022-12-24","2022-12-24","3123","2022-12-01","IP3123","Red Clover Sprouts",344,270,10,55,"no"
"R3124",100,"LOT3124 2021-11-17_100","2021-11-25","2021-11-26","3124","2021-11-17","IP3124","Onion Sprouts",779,1086,36,217,"no"
"R3125",112,"LOT3125 2022-05-16_112","2022-06-01","2022-06-01","3125","2022-05-16","IP3125","Sunflower Sprouts",848,1216,41,243,"no"
"R3126",52,"LOT3126 2022-08-28_52","2022-09-16","2022-09-17","3126","2022-08-28","IP3126","Wheatgrass Sprouts",499,562,19,113,"no"
"R3127",30,"LOT3127 2022-07-10_30","2022-07-28","2022-07-29","3127","2022-07-10","IP3127","Radish Srpouts",370,320,11,65,"no"
"R3128",70,"LOT3128 2021-09-06_70","2021-09-11","2021-09-12","3128","2021-09-06","IP3128","Mustard Sprouts",602,754,26,151,"no"
"R3129",68,"LOT3129 2022-12-19_68","2023-01-12","2023-01-12","3129","2022-12-19","IP3129","Pumpkin Seed Sprouts",592,735,25,147,"no"
"R3130",37,"LOT3130 2022-06-09_37","2022-06-25","2022-06-26","3130","2022-06-09","IP3130","Brocolli Sprouts",412,398,14,80,"no"
"R3131",129,"LOT3131 2022-09-23_129","2022-10-13","2022-10-14","3131","2022-09-23","IP3131","Seasame Sprouts",945,1397,47,280,"yes"
"R3132",95,"LOT3132 2022-10-09_95","2022-10-30","2022-10-30","3132","2022-10-09","IP3132","Green Lentil Sprouts",747,1026,35,205,"no"
"R3133",120,"LOT3133 2022-09-05_120","2022-09-25","2022-09-26","3133","2022-09-05","IP3133","Pea Sprouts",896,1305,44,261,"no"
"R3134",77,"LOT3134 2023-02-15_77","2023-03-13","2023-03-13","3134","2023-02-15","IP3134","Mustard Sprouts",643,832,28,167,"no"
"R3135",76,"LOT3135 2022-06-27_76","2022-07-14","2022-07-14","3135","2022-06-27","IP3135","Mustard Sprouts",638,822,28,165,"no"
"R3136",79,"LOT3136 2022-09-22_79","2022-10-12","2022-10-13","3136","2022-09-22","IP3136","Soybean Sprouts",656,855,29,171,"no"
"R3137",7,"LOT3137 2022-02-26_7","2022-03-10","2022-03-11","3137","2022-02-26","IP3137","Alfalfa Sprouts",232,62,3,13,"no"
"R3138",77,"LOT3138 2021-12-20_77","2021-12-30","2021-12-31","3138","2021-12-20","IP3138","Mustard Sprouts",642,829,28,166,"no"
"R3139",70,"LOT3139 2022-01-18_70","2022-01-29","2022-01-30","3139","2022-01-18","IP3139","Mustard Sprouts",605,761,26,153,"no"
"R3140",2,"LOT3140 2022-08-13_2","2022-09-01","2022-09-02","3140","2022-08-13","IP3140","Alfalfa Sprouts",204,9,1,3,"no"
"R3141",73,"LOT3141 2021-11-30_73","2021-12-09","2021-12-10","3141","2021-11-30","IP3141","Mustard Sprouts",619,786,27,158,"no"
"R3142",67,"LOT3142 2022-08-02_67","2022-08-20","2022-08-21","3142","2022-08-02","IP3142","Pumpkin Seed Sprouts",584,720,24,144,"no"
"R3143",13,"LOT3143 2023-01-29_13","2023-02-23","2023-02-23","3143","2023-01-29","IP3143","Mung Bean Sprouts",269,130,5,27,"no"
"R3144",80,"LOT3144 2022-06-08_80","2022-06-24","2022-06-24","3144","2022-06-08","IP3144","Soybean Sprouts",660,863,29,173,"no"
"R3145",85,"LOT3145 2022-01-01_85","2022-01-11","2022-01-12","3145","2022-01-01","IP3145","Soybean Sprouts",692,924,31,185,"no"
"R3146",132,"LOT3146 2022-09-27_132","2022-10-18","2022-10-18","3146","2022-09-27","IP3146","Chickpeas Sprouts",964,1432,48,286,"yes"
"R3147",65,"LOT3147 2021-11-09_65","2021-11-17","2021-11-18","3147","2021-11-09","IP3147","Pumpkin Seed Sprouts",574,701,24,141,"no"
"R3148",35,"LOT3148 2022-05-18_35","2022-06-03","2022-06-03","3148","2022-05-18","IP3148","Brocolli Sprouts",401,378,13,76,"no"
"R3149",44,"LOT3149 2021-11-08_44","2021-11-16","2021-11-17","3149","2021-11-08","IP3149","Wheatgrass Sprouts",450,470,16,95,"no"
"R3150",45,"LOT3150 2022-02-25_45","2022-03-09","2022-03-10","3150","2022-02-25","IP3150","Wheatgrass Sprouts",460,488,17,98,"no"
"R3151",15,"LOT3151 2022-04-05_15","2022-04-18","2022-04-19","3151","2022-04-05","IP3151","Mung Bean Sprouts",283,156,6,32,"no"
"R3152",35,"LOT3152 2022-08-10_35","2022-08-29","2022-08-29","3152","2022-08-10","IP3152","Radish Srpouts",400,375,13,76,"no"
"R3153",39,"LOT3153 2022-08-17_39","2022-09-05","2022-09-05","3153","2022-08-17","IP3153","Brocolli Sprouts",423,420,15,84,"no"
"R3154",125,"LOT3154 2022-03-14_125","2022-03-27","2022-03-27","3154","2022-03-14","IP3154","Seasame Sprouts",925,1360,45,272,"yes"
"R3155",56,"LOT3155 2021-12-01_56","2021-12-10","2021-12-10","3155","2021-12-01","IP3155","Kidney-Bean Sprouts",524,608,21,122,"no"
"R3156",106,"LOT3156 2023-02-14_106","2023-03-12","2023-03-12","3156","2023-02-14","IP3156","Sunflower Sprouts",812,1147,38,230,"no"
"R3157",71,"LOT3157 2022-07-22_71","2022-08-09","2022-08-09","3157","2022-07-22","IP3157","Mustard Sprouts",608,765,26,153,"no"
"R3158",113,"LOT3158 2023-02-18_113","2023-03-17","2023-03-17","3158","2023-02-18","IP3158","Pea Sprouts",856,1231,41,246,"no"
"R3159",34,"LOT3159 2022-01-17_34","2022-01-28","2022-01-29","3159","2022-01-17","IP3159","Radish Srpouts",393,362,13,73,"no"
"R3160",105,"LOT3160 2022-05-23_105","2022-06-08","2022-06-09","3160","2022-05-23","IP3160","Sunflower Sprouts",805,1134,38,227,"no"
"R3161",51,"LOT3161 2022-12-10_51","2023-01-03","2023-01-03","3161","2022-12-10","IP3161","Wheatgrass Sprouts",490,544,19,109,"no"
"R3162",93,"LOT3162 2022-04-07_93","2022-04-21","2022-04-21","3162","2022-04-07","IP3162","Green Lentil Sprouts",736,1005,34,201,"no"
"R3163",75,"LOT3163 2022-05-18_75","2022-06-02","2022-06-03","3163","2022-05-18","IP3163","Mustard Sprouts",633,811,27,163,"no"
"R3164",126,"LOT3164 2021-12-28_126","2022-01-07","2022-01-08","3164","2021-12-28","IP3164","Seasame Sprouts",928,1366,46,273,"yes"
"R3165",57,"LOT3165 2022-06-23_57","2022-07-10","2022-07-10","3165","2022-06-23","IP3165","Kidney-Bean Sprouts",530,619,21,124,"no"
"R3166",135,"LOT3166 2022-10-21_135","2022-11-12","2022-11-12","3166","2022-10-21","IP3166","Chickpeas Sprouts",980,1462,49,292,"yes"
"R3167",43,"LOT3167 2022-03-10_43","2022-03-22","2022-03-23","3167","2022-03-10","IP3167","Brocolli Sprouts",448,465,16,94,"no"
"R3168",63,"LOT3168 2021-12-09_63","2021-12-18","2021-12-19","3168","2021-12-09","IP3168","Pumpkin Seed Sprouts",560,675,23,135,"no"
"R3169",19,"LOT3169 2022-02-02_19","2022-02-13","2022-02-14","3169","2022-02-02","IP3169","Red Clover Sprouts",305,198,7,40,"no"
"R3170",127,"LOT3170 2022-09-10_127","2022-09-30","2022-10-01","3170","2022-09-10","IP3170","Seasame Sprouts",935,1378,46,276,"yes"
"R3171",98,"LOT3171 2021-11-21_98","2021-11-29","2021-11-30","3171","2021-11-21","IP3171","Onion Sprouts",768,1066,36,213,"no"
"R3172",71,"LOT3172 2022-02-21_71","2022-03-05","2022-03-06","3172","2022-02-21","IP3172","Mustard Sprouts",607,763,26,153,"no"
"R3173",105,"LOT3173 2021-10-09_105","2021-10-15","2021-10-16","3173","2021-10-09","IP3173","Sunflower Sprouts",809,1142,38,229,"no"
"R3174",94,"LOT3174 2022-12-25_94","2023-01-19","2023-01-19","3174","2022-12-25","IP3174","Green Lentil Sprouts",742,1017,34,204,"no"
"R3175",66,"LOT3175 2023-02-25_66","2023-03-23","2023-03-24","3175","2023-02-25","IP3175","Pumpkin Seed Sprouts",578,709,24,142,"no"
"R3176",54,"LOT3176 2022-05-19_54","2022-06-03","2022-06-04","3176","2022-05-19","IP3176","Kidney-Bean Sprouts",512,586,20,118,"no"
"R3177",118,"LOT3177 2021-10-22_118","2021-10-29","2021-10-30","3177","2021-10-22","IP3177","Pea Sprouts",883,1281,43,256,"no"
"R3178",43,"LOT3178 2022-10-30_43","2022-11-21","2022-11-22","3178","2022-10-30","IP3178","Brocolli Sprouts",447,464,16,93,"no"
"R3179",108,"LOT3179 2021-10-12_108","2021-10-18","2021-10-19","3179","2021-10-12","IP3179","Sunflower Sprouts",824,1171,39,234,"no"
"R3180",18,"LOT3180 2023-01-04_18","2023-01-28","2023-01-29","3180","2023-01-04","IP3180","Red Clover Sprouts",300,189,7,38,"no"
"R3181",122,"LOT3181 2021-09-01_122","2021-09-06","2021-09-07","3181","2021-09-01","IP3181","Seasame Sprouts",904,1321,44,264,"no"
