"Location_ID","County_Name","County_FIPS","State_ID","State_Name","Latitude","Longitude"
106,"Item","Item","Item","Item","Item","Item"
107,"Item","Item","Item","Item","Item","Item"
108,"Item","Item","Item","Item","Item","Item"
109,"Item","Item","Item","Item","Item","Item"
110,"Item","Item","Item","Item","Item","Item"
111,"Item","Item","Item","Item","Item","Item"
112,"Item","Item","Item","Item","Item","Item"
113,"Item","Item","Item","Item","Item","Item"
114,"Item","Item","Item","Item","Item","Item"
115,"Item","Item","Item","Item","Item","Item"
116,"Item","Item","Item","Item","Item","Item"
117,"Item","Item","Item","Item","Item","Item"
118,"Item","Item","Item","Item","Item","Item"
119,"Item","Item","Item","Item","Item","Item"
120,"Item","Item","Item","Item","Item","Item"
121,"Item","Item","Item","Item","Item","Item"
122,"Item","Item","Item","Item","Item","Item"
123,"Item","Item","Item","Item","Item","Item"
124,"Item","Item","Item","Item","Item","Item"
125,"Item","Item","Item","Item","Item","Item"
126,"Item","Item","Item","Item","Item","Item"
127,"Item","Item","Item","Item","Item","Item"
128,"Item","Item","Item","Item","Item","Item"
129,"Item","Item","Item","Item","Item","Item"
130,"Item","Item","Item","Item","Item","Item"
131,"Item","Item","Item","Item","Item","Item"
132,"Item","Item","Item","Item","Item","Item"
133,"Item","Item","Item","Item","Item","Item"
134,"Item","Item","Item","Item","Item","Item"
135,"Item","Item","Item","Item","Item","Item"
136,"Item","Item","Item","Item","Item","Item"
137,"Item","Item","Item","Item","Item","Item"
138,"Item","Item","Item","Item","Item","Item"
139,"Item","Item","Item","Item","Item","Item"
