"Date_of_Harvesting","Harvesting_id","Farmer_Name","Subsequent_ID","Initial_Packing_ID","Item_Name","Quantity","Location_ID","Field_ID","Mobile_ID","Outbreak"
"2023-01-10","H3025","Caputo Brothers Creamery","C3025","3025","Brie Cheese",266,26,9,56,"No"
"2021-10-01","H3026","Gorilla Pop Dairy","C3026","3026","Jarlsberg Cheese",883,120,39,261,"Yes"
"2022-10-29","H3027","Ananyas Dream land for Cheese","C3027","3027","Cotija Cheese",573,73,24,158,"No"
"2022-08-30","H3028","Cheese Wheel Plaza","C3028","3028","Creame Cheese",616,80,26,172,"No"
"2022-02-16","H3029","Traditional goat cheese pizza","C3029","3029","Cottage Cheese",591,76,25,164,"No"
"2021-08-27","H3030","Anish's Bakery ","C3030","3030","Pepper Jack Cheese",440,53,18,114,"No"
"2022-03-19","H3031","Saputo Cheese USA Inc","C3031","3031","Asiago Cheese",212,18,6,38,"No"
"2022-03-27","H3032","Teetu Farm Cheese","C3032","3032","Swiss Cheese",476,58,19,126,"No"
"2022-10-12","H3033","Saputo Cheese USA Inc","IPH33","3033","American Cheese",186,14,5,30,"No"
"2022-04-20","H3034","Surigiva Cheese Stop","C3034","3034","Camembert Cheese",333,36,12,78,"No"
"2022-10-05","H3035","Surigiva Cheese Stop","C3035","3035","Camembert Cheese",328,36,12,77,"No"
"2021-11-23","H3036","Popping Plaza","C3036","3036","Jarlsberg Cheese",900,123,40,267,"Yes"
"2021-12-22","H3037","Ananyas Dream land for Cheese","C3037","3037","Cotija Cheese",562,71,24,154,"No"
"2023-02-23","H3038","Aditis CheeseCake Place","C3038","3038","Cold_Pack Cheese",541,68,23,148,"No"
"2021-12-16","H3039","Welcome Cheese","C3039","3039","Gruyere Cheese",825,111,36,242,"Yes"
"2021-10-21","H3040","Clover Hill Dairy","C3040","3040","Brie Cheese",290,30,10,64,"No"
"2022-09-07","H3041","Cheese Lovers","C3041","3041","Monterey Jack Cheese",955,131,43,285,"Yes"
"2021-09-13","H3042","Georges Mill Farm Artisan Cheese","C3042","3042","Blue Cheese",125,5,2,9,"No"
"2022-09-23","H3043","Quit Sausage Cheese","C3043","3043","Gorgonzola Cheese",715,95,31,205,"No"
"2022-12-29","H3044","Teetu Farm Cheese","C3044","3044","Colby Cheese",490,60,20,130,"No"
"2022-11-23","H3045","Clover Hill Dairy","C3045","3045","Brie Cheese",273,27,9,58,"No"
"2021-09-22","H3046","Anish's Bakery ","C3046","3046","Swiss Cheese",458,56,19,120,"No"
"2022-12-12","H3047","Anish's Bakery ","C3047","3047","Pepper Jack Cheese",440,53,18,114,"No"
"2022-05-24","H3048","Mary's Dairy Store","C3048","3048","Cheese Curds Cheese",413,49,16,105,"No"
"2022-07-11","H3049","Aditis CheeseCake Place","C3049","3049","Cold_Pack Cheese",548,69,23,150,"No"
"2022-04-04","H3050","Stonyman Gourmet Farmer","IPH50","3050","American Cheese",176,13,5,26,"No"
"2023-01-10","H3051","Anish's Bakery ","C3051","3051","Swiss Cheese",455,55,18,119,"No"
"2022-08-20","H3052","Quit Sausage Cheese","C3052","3052","Feta Cheese",700,92,30,200,"No"
"2022-12-10","H3053","Item","C3053","3053","Item",980,135,44,293,"Yes"
"2022-11-15","H3054","Waiter for CHeese","C3054","3054","Feta Cheese",685,90,30,195,"No"
"2022-02-07","H3055","Nebraska Cheese Stop","C3055","3055","Gruyere Cheese",833,113,37,245,"Yes"
"2022-06-22","H3056","Twin Oaks Cheese","C3056","3056"," Burrata Cheese",319,34,12,74,"No"
"2022-07-21","H3057","Bielers Cheese","C3057","3057","Mozarilla Cheese",149,8,3,17,"No"
"2022-06-20","H3058","Anish's Bakery ","C3058","3058","Pepper Jack Cheese",442,53,18,114,"No"
"2022-02-09","H3059","Asus Blue Cheese","C3059","3059","Halloumi Cheese",776,104,34,225,"No"
"2022-03-02","H3060","The Flash Creamery","C3060","3060","Cheese Curds Cheese",401,47,16,101,"No"
"2022-12-06","H3061","Bielers Cheese","C3061","3061","Mozarilla Cheese",133,6,3,12,"No"
"2022-09-28","H3062","Item","C3062","3062","Item",998,138,45,299,"Yes"
"2022-12-19","H3063","Caputo Brothers Creamery","C3063","3063","Bocconcini Cheese",248,23,8,50,"No"
"2023-02-03","H3064","Traditional goat cheese pizza","C3064","3064","Cottage Cheese",600,77,25,167,"No"
"2022-03-14","H3065","Bielers Cheese","C3065","3065","Mozarilla Cheese",152,9,4,18,"No"
"2023-01-29","H3066","Popping Plaza","C3066","3066","Limburger Cheese",914,125,41,271,"Yes"
"2022-04-18","H3067","Traditional goat cheese pizza","C3067","3067","Cottage Cheese",600,77,25,167,"No"
"2022-12-04","H3068","Ananyas Dream land for Cheese","C3068","3068","Cotija Cheese",554,70,23,152,"No"
"2022-11-20","H3069","Stellum Cheese Museum","C3069","3069","Gorgonzola Cheese",729,97,32,210,"No"
"2022-02-12","H3070","Twin Oaks Cheese","C3070","3070"," Burrata Cheese",314,34,11,72,"No"
"2022-08-27","H3071","The Flash Creamery","C3071","3071","Cheese Curds Cheese",394,46,15,99,"No"
"2022-02-13","H3072","Stellum Cheese Museum","C3072","3072","Farmer Made Organic Cheese",744,99,32,215,"No"
"2022-09-28","H3073","Anish's Bakery ","C3073","3073","Pepper Jack Cheese",450,54,18,117,"No"
"2022-04-17","H3074","Item","C3074","3074","Item",998,138,45,299,"Yes"
"2022-08-07","H3075","Caputo Brothers Creamery","C3075","3075","Bocconcini Cheese",256,25,9,53,"No"
"2022-06-14","H3076","Item","C3076","3076","Item",988,136,44,296,"Yes"
"2021-12-14","H3077","The Flash Creamery","C3077","3077","Cheddar Mix Cheese",383,44,15,95,"No"
"2021-12-27","H3078","Anish's Bakery ","C3078","3078","Swiss Cheese",456,55,18,119,"No"
"2022-12-31","H3079","Asus Blue Cheese","C3079","3079","Halloumi Cheese",801,108,35,234,"No"
"2022-12-03","H3080","Seige at the Cheese","C3080","3080","Limburger Cheese",920,126,41,273,"Yes"
"2022-06-12","H3081","Popping Plaza","C3081","3081","Limburger Cheese",914,125,41,272,"Yes"
"2023-02-25","H3082","Trillium Go Cheese","C3082","3082","Creame Cheese",635,83,27,179,"No"
"2021-08-12","H3083","The Great Cheese","C3083","3083","Bocconcini Cheese",234,21,8,45,"No"
"2021-12-27","H3084","Nebraska Cheese Stop","C3084","3084","Havati Cheese",845,114,37,248,"Yes"
"2021-08-21","H3085","The Great Cheese","C3085","3085","Bocconcini Cheese",235,21,8,46,"No"
"2022-12-30","H3086","Georges Mill Farm Artisan Cheese","C3086","3086","Blue Cheese",101,1,1,1,"No"
"2023-01-23","H3087","Teetu Farm Cheese","C3087","3087","Swiss Cheese",477,58,19,126,"No"
"2022-03-10","H3088","The Flash Creamery","C3088","3088","Cheese Curds Cheese",392,45,15,98,"No"
"2021-10-19","H3089","Seige at the Cheese","C3089","3089","Limburger Cheese",927,127,41,276,"Yes"
"2023-02-21","H3090","waldows Cheese","C3090","3090","Cheddar Mix Cheese",363,41,14,88,"No"
"2021-10-20","H3091","Trillium Go Cheese","C3091","3091","Emmental Cheese",662,87,28,188,"No"
"2022-05-14","H3092","Nebraska Cheese Stop","C3092","3092","Gruyere Cheese",832,112,37,244,"Yes"
"2022-10-07","H3093","Clover Hill Dairy","C3093","3093","Brie Cheese",273,27,9,58,"No"
"2022-02-11","H3094","Aditis CheeseCake Place","C3094","3094","Cold_Pack Cheese",532,67,22,144,"No"
"2022-11-21","H3095","Seige at the Cheese","C3095","3095","Monterey Jack Cheese",938,129,42,280,"Yes"
"2021-10-21","H3096","Stellum Cheese Museum","C3096","3096","Gorgonzola Cheese",736,98,32,212,"No"
"2022-12-06","H3097","Trillium Go Cheese","C3097","3097","Creame Cheese",638,83,27,180,"No"
"2022-05-04","H3098","Mary's Dairy Store","C3098","3098","Pepper Jack Cheese",424,50,17,109,"No"
"2022-11-14","H3099","Stonyman Gourmet Farmer","IPH99","3099","American Cheese",171,12,4,24,"No"
"2022-06-12","H3100","Caputo Brothers Creamery","C3100","3100","Brie Cheese",268,27,9,57,"No"
"2022-07-24","H3101","Cheese Lovers","C3101","3101","Monterey Jack Cheese",953,131,43,284,"Yes"
"2021-12-19","H3102","Popping Plaza","C3102","3102","Jarlsberg Cheese",893,122,40,265,"Yes"
"2022-08-16","H3103","Mary's Dairy Store","C3103","3103","Cheese Curds Cheese",410,48,16,104,"No"
"2023-01-17","H3104","Cheese Wheel Plaza","C3104","3104","Creame Cheese",631,82,27,177,"No"
"2021-12-01","H3105","Ananyas Dream land for Cheese","C3105","3105","Cotija Cheese",553,70,23,151,"No"
"2022-05-06","H3106","Stonyman Gourmet Farmer","IPH106","3106","American Cheese",173,12,5,25,"No"
"2021-12-14","H3107","Caputo Brothers Creamery","C3107","3107","Bocconcini Cheese",252,24,8,52,"No"
"2023-01-03","H3108","Georges Mill Farm Artisan Cheese","C3108","3108","Blue Cheese",102,1,1,2,"No"
"2021-11-30","H3109","Cheese Wheel Plaza","C3109","3109","Creame Cheese",628,81,27,176,"No"
"2021-10-29","H3110","Aditis CheeseCake Place","C3110","3110","Cold_Pack Cheese",534,67,22,145,"No"
"2022-06-11","H3111","Quit Sausage Cheese","C3111","3111","Feta Cheese",708,94,31,203,"No"
"2022-12-15","H3112","Stellum Cheese Museum","C3112","3112","Gorgonzola Cheese",742,99,32,214,"No"
"2022-07-22","H3113","International Cheese Market","C3113","3113","Farmer Made Organic Cheese",760,102,33,220,"No"
"2022-07-01","H3114","Bielers Cheese","C3114","3114","Mozarilla Cheese",136,7,3,13,"No"
"2021-08-24","H3115","International Cheese Market","C3115","3115","Farmer Made Organic Cheese",755,101,33,219,"No"
"2022-05-01","H3116","Nebraska Cheese Stop","C3116","3116","Havati Cheese",846,115,37,249,"Yes"
"2022-09-10","H3117","Georges Mill Farm Artisan Cheese","C3117","3117","Blue Cheese",124,5,2,9,"No"
"2021-12-29","H3118","Item","C3118","3118","Item",992,137,45,297,"Yes"
"2021-10-20","H3119","Nebraska Cheese Stop","C3119","3119","Havati Cheese",854,116,38,251,"Yes"
"2022-03-01","H3120","Aditis CheeseCake Place","C3120","3120","Cold_Pack Cheese",531,67,22,144,"No"
"2021-08-29","H3121","Teetu Farm Cheese","C3121","3121","Swiss Cheese",473,58,19,125,"No"
"2021-12-09","H3122","Surigiva Cheese Stop","C3122","3122","Camembert Cheese",331,36,12,78,"No"
"2022-12-01","H3123","Caputo Brothers Creamery","C3123","3123","Brie Cheese",262,26,9,55,"No"
"2021-11-17","H3124","International Cheese Market","C3124","3124","Farmer Made Organic Cheese",752,100,33,217,"No"
"2022-05-16","H3125","Welcome Cheese","C3125","3125","Gruyere Cheese",829,112,37,243,"Yes"
"2022-08-28","H3126","Mary's Dairy Store","C3126","3126","Pepper Jack Cheese",437,52,17,113,"No"
"2022-07-10","H3127","Clover Hill Dairy","C3127","3127","Brie Cheese",292,30,10,65,"No"
"2021-09-06","H3128","Ananyas Dream land for Cheese","C3128","3128","Cotija Cheese",552,70,23,151,"No"
"2022-12-19","H3129","Aditis CheeseCake Place","C3129","3129","Cold_Pack Cheese",541,68,23,147,"No"
"2022-06-09","H3130","Surigiva Cheese Stop","C3130","3130","Camembert Cheese",339,37,13,80,"No"
"2022-09-23","H3131","Seige at the Cheese","C3131","3131","Monterey Jack Cheese",938,129,42,280,"Yes"
"2022-10-09","H3132","Quit Sausage Cheese","C3132","3132","Gorgonzola Cheese",715,95,31,205,"No"
"2022-09-05","H3133","Gorilla Pop Dairy","C3133","3133","Jarlsberg Cheese",883,120,39,261,"Yes"
"2023-02-15","H3134","Traditional goat cheese pizza","C3134","3134","Cottage Cheese",599,77,25,167,"No"
"2022-06-27","H3135","Traditional goat cheese pizza","C3135","3135","Cottage Cheese",593,76,25,165,"No"
"2022-09-22","H3136","Cheese Wheel Plaza","C3136","3136","Cottage Cheese",613,79,26,171,"No"
"2022-02-26","H3137","Bielers Cheese","C3137","3137","Mozarilla Cheese",136,7,3,13,"No"
"2021-12-20","H3138","Traditional goat cheese pizza","C3138","3138","Cottage Cheese",597,77,25,166,"No"
"2022-01-18","H3139","Ananyas Dream land for Cheese","C3139","3139","Cotija Cheese",556,70,23,153,"No"
"2022-08-13","H3140","Georges Mill Farm Artisan Cheese","C3140","3140","Blue Cheese",105,2,1,3,"No"
"2021-11-30","H3141","Ananyas Dream land for Cheese","C3141","3141","Cotija Cheese",571,73,24,158,"No"
"2022-08-02","H3142","Aditis CheeseCake Place","C3142","3142","Cold_Pack Cheese",532,67,22,144,"No"
"2023-01-29","H3143","Stonyman Gourmet Farmer","IPH143","3143","American Cheese",178,13,5,27,"No"
"2022-06-08","H3144","Cheese Wheel Plaza","C3144","3144","Creame Cheese",617,80,26,173,"No"
"2022-01-01","H3145","Trillium Go Cheese","C3145","3145","Emmental Cheese",654,85,28,185,"No"
"2022-09-27","H3146","Cheese Lovers","C3146","3146","Monterey Jack Cheese",959,132,43,286,"Yes"
"2021-11-09","H3147","Carnival Cheese","C3147","3147","Cold_Pack Cheese",520,65,22,141,"No"
"2022-05-18","H3148","Surigiva Cheese Stop","C3148","3148","Camembert Cheese",327,35,12,76,"No"
"2021-11-08","H3149","The Flash Creamery","C3149","3149","Cheddar Mix Cheese",381,44,15,95,"No"
"2022-02-25","H3150","The Flash Creamery","C3150","3150","Cheese Curds Cheese",392,45,15,98,"No"
"2022-04-05","H3151","Saputo Cheese USA Inc","IPH151","3151","American Cheese",193,15,6,32,"No"
"2022-08-10","H3152","Twin Oaks Cheese","C3152","3152"," Burrata Cheese",325,35,12,76,"No"
"2022-08-17","H3153","Surigiva Cheese Stop","C3153","3153","Camembert Cheese",351,39,13,84,"No"
"2022-03-14","H3154","Seige at the Cheese","C3154","3154","Limburger Cheese",916,125,41,272,"Yes"
"2021-12-01","H3155","Anish's Bakery ","C3155","3155","Swiss Cheese",465,56,19,122,"No"
"2023-02-14","H3156","Asus Blue Cheese","C3156","3156","Halloumi Cheese",788,106,35,230,"No"
"2022-07-22","H3157","Ananyas Dream land for Cheese","C3157","3157","Cotija Cheese",559,71,23,153,"No"
"2023-02-18","H3158","Nebraska Cheese Stop","C3158","3158","Gruyere Cheese",839,113,37,246,"Yes"
"2022-01-17","H3159","Twin Oaks Cheese","C3159","3159"," Burrata Cheese",317,34,12,73,"No"
"2022-05-23","H3160","Asus Blue Cheese","C3160","3160","Halloumi Cheese",780,105,34,227,"No"
"2022-12-10","H3161","Mary's Dairy Store","C3161","3161","Pepper Jack Cheese",426,51,17,109,"No"
"2022-04-07","H3162","Quit Sausage Cheese","C3162","3162","Feta Cheese",703,93,30,201,"No"
"2022-05-18","H3163","Traditional goat cheese pizza","C3163","3163","Cottage Cheese",587,75,25,163,"No"
"2021-12-28","H3164","Seige at the Cheese","C3164","3164","Limburger Cheese",919,126,41,273,"Yes"
"2022-06-23","H3165","Teetu Farm Cheese","C3165","3165","Swiss Cheese",471,57,19,124,"No"
"2022-10-21","H3166","Item","C3166","3166","Item",977,135,44,292,"Yes"
"2022-03-10","H3167","waldows Cheese","C3167","3167","Cheddar Mix Cheese",379,43,15,94,"No"
"2021-12-09","H3168","Carnival Cheese","C3168","3168","Colby Cheese",504,63,21,135,"No"
"2022-02-02","H3169","The Great Cheese","C3169","3169","Asiago Cheese",218,19,7,40,"No"
"2022-09-10","H3170","Seige at the Cheese","C3170","3170","Limburger Cheese",927,127,41,276,"Yes"
"2021-11-21","H3171","Stellum Cheese Museum","C3171","3171","Gorgonzola Cheese",739,98,32,213,"No"
"2022-02-21","H3172","Ananyas Dream land for Cheese","C3172","3172","Cotija Cheese",557,71,23,153,"No"
"2021-10-09","H3173","Asus Blue Cheese","C3173","3173","Halloumi Cheese",785,105,34,229,"No"
"2022-12-25","H3174","Quit Sausage Cheese","C3174","3174","Feta Cheese",710,94,31,204,"No"
"2023-02-25","H3175","Aditis CheeseCake Place","C3175","3175","Cold_Pack Cheese",525,66,22,142,"No"
"2022-05-19","H3176","Anish's Bakery ","C3176","3176","Pepper Jack Cheese",451,54,18,118,"No"
"2021-10-22","H3177","Gorilla Pop Dairy","C3177","3177","Havati Cheese",869,118,39,256,"Yes"
"2022-10-30","H3178","waldows Cheese","C3178","3178","Cheddar Mix Cheese",378,43,15,93,"No"
"2021-10-12","H3179","Asus Blue Cheese","C3179","3179","Halloumi Cheese",802,108,35,234,"No"
"2023-01-04","H3180","The Great Cheese","C3180","3180","Asiago Cheese",213,18,7,38,"No"
"2021-09-01","H3181","Popping Plaza","C3181","3181","Jarlsberg Cheese",892,122,40,264,"Yes"
"2022-04-14","H3182","Cheese Lovers","C3182","3182","Monterey Jack Cheese",961,132,43,287,"Yes"
"2022-12-01","H3183","Cheese Lovers","C3183","3183","Monterey Jack Cheese",967,133,43,289,"Yes"
"2021-11-06","H3184","Teetu Farm Cheese","C3184","3184","Swiss Cheese",469,57,19,124,"No"
"2022-02-11","H3185","Item","C3185","3185","Item",980,135,44,293,"Yes"
"2022-02-10","H3186","Seige at the Cheese","C3186","3186","Limburger Cheese",921,126,41,274,"Yes"
"2023-02-13","H3187","Asus Blue Cheese","C3187","3187","Halloumi Cheese",795,107,35,232,"No"
"2022-09-04","H3188","Caputo Brothers Creamery","C3188","3188","Brie Cheese",266,26,9,56,"No"
"2023-01-15","H3189","Anish's Bakery ","C3189","3189","Pepper Jack Cheese",451,54,18,118,"No"
"2022-04-02","H3190","Popping Plaza","C3190","3190","Jarlsberg Cheese",889,121,40,263,"Yes"
"2022-11-30","H3191","Asus Blue Cheese","C3191","3191","Halloumi Cheese",775,104,34,225,"No"
"2021-12-04","H3192","Welcome Cheese","C3192","3192","Gruyere Cheese",829,112,37,243,"Yes"
"2022-07-04","H3193","Anish's Bakery ","C3193","3193","Swiss Cheese",460,56,19,121,"No"
"2021-10-13","H3194","Waiter for CHeese","C3194","3194","Feta Cheese",684,90,30,195,"No"
"2021-10-08","H3195","Twin Oaks Cheese","C3195","3195"," Burrata Cheese",310,33,11,71,"No"
"2022-01-30","H3196","Stonyman Gourmet Farmer","IPH196","3196","American Cheese",166,11,4,23,"No"
"2023-01-31","H3197","Cheese Wheel Plaza","C3197","3197","Creame Cheese",628,81,27,176,"No"
"2022-12-08","H3198","The Flash Creamery","C3198","3198","Cheese Curds Cheese",405,47,16,102,"No"
"2022-04-13","H3199","Welcome Cheese","C3199","3199","Gruyere Cheese",829,112,37,243,"Yes"
"2022-09-26","H3200","Item","C3200","3200","Item",991,137,45,297,"Yes"
"2022-05-10","H3201","Bielers Cheese","C3201","3201","Mozarilla Cheese",144,8,3,16,"No"
"2022-05-25","H3202","Stonyman Gourmet Farmer","IPH202","3202","American Cheese",179,13,5,27,"No"
"2022-05-23","H3203","Waiter for CHeese","C3203","3203","Emmental Cheese",677,89,29,193,"No"
"2021-12-11","H3204","Stellum Cheese Museum","C3204","3204","Gorgonzola Cheese",730,97,32,210,"No"
"2021-11-03","H3205","Gorilla Pop Dairy","C3205","3205","Havati Cheese",860,117,38,253,"Yes"
"2022-03-01","H3206","waldows Cheese","C3206","3206","Cheddar Mix Cheese",365,41,14,89,"No"
"2021-10-06","H3207","Seige at the Cheese","C3207","3207","Limburger Cheese",928,127,41,276,"Yes"
"2021-09-09","H3208","Trillium Go Cheese","C3208","3208","Creame Cheese",638,83,27,180,"No"
"2021-10-25","H3209","Twin Oaks Cheese","C3209","3209"," Burrata Cheese",324,35,12,75,"No"
"2022-12-22","H3210","Twin Oaks Cheese","C3210","3210"," Burrata Cheese",321,35,12,74,"No"
"2022-10-03","H3211","Gorilla Pop Dairy","C3211","3211","Jarlsberg Cheese",882,120,39,261,"Yes"
"2022-12-05","H3212","Caputo Brothers Creamery","C3212","3212","Bocconcini Cheese",260,25,9,54,"No"
"2022-08-17","H3213","Trillium Go Cheese","C3213","3213","Emmental Cheese",662,86,28,188,"No"
"2022-08-21","H3214","Saputo Cheese USA Inc","C3214","3214","Asiago Cheese",198,16,6,34,"No"
"2022-10-14","H3215","Saputo Cheese USA Inc","C3215","3215","Asiago Cheese",209,18,6,37,"No"
"2022-02-16","H3216","Item","C3216","3216","Item",998,138,45,299,"Yes"
"2022-10-14","H3217","Cheese Wheel Plaza","C3217","3217","Creame Cheese",632,82,27,178,"No"
"2022-03-18","H3218","Surigiva Cheese Stop","C3218","3218","Camembert Cheese",348,39,13,83,"No"
"2022-05-25","H3219","Georges Mill Farm Artisan Cheese","C3219","3219","Blue Cheese",107,2,1,3,"No"
"2022-03-13","H3220","Trillium Go Cheese","C3220","3220","Creame Cheese",636,83,27,179,"No"
"2022-06-30","H3221","Cheese Lovers","C3221","3221","Monterey Jack Cheese",955,131,43,285,"Yes"
"2022-05-31","H3222","Saputo Cheese USA Inc","IPH222","3222","American Cheese",185,14,5,29,"No"
"2022-05-14","H3223","waldows Cheese","C3223","3223","Camembert Cheese",356,40,13,86,"No"
"2023-02-01","H3224","The Great Cheese","C3224","3224","Asiago Cheese",217,19,7,40,"No"
"2022-10-21","H3225","waldows Cheese","C3225","3225","Camembert Cheese",356,40,14,86,"No"
"2021-10-25","H3226","Caputo Brothers Creamery","C3226","3226","Bocconcini Cheese",245,23,8,49,"No"
"2021-12-17","H3227","Stonyman Gourmet Farmer","IPH227","3227","American Cheese",170,12,4,24,"No"
"2021-12-20","H3228","Bielers Cheese","C3228","3228","Mozarilla Cheese",144,8,3,15,"No"
"2022-10-29","H3229","Carnival Cheese","C3229","3229","Colby Cheese",501,62,21,134,"No"
"2021-08-26","H3230","Carnival Cheese","C3230","3230","Colby Cheese",513,64,21,138,"No"
"2021-08-22","H3231","Anish's Bakery ","C3231","3231","Swiss Cheese",463,56,19,122,"No"
"2023-01-07","H3232","Stonyman Gourmet Farmer","IPH232","3232","American Cheese",168,11,4,23,"No"
"2022-07-28","H3233","Clover Hill Dairy","C3233","3233"," Burrata Cheese",293,30,10,65,"No"
"2022-06-29","H3234","Welcome Cheese","C3234","3234","Gruyere Cheese",812,109,36,238,"No"
"2022-10-28","H3235","Anish's Bakery ","C3235","3235","Swiss Cheese",459,56,19,120,"No"
"2022-12-27","H3236","Anish's Bakery ","C3236","3236","Pepper Jack Cheese",444,53,18,115,"No"
"2022-02-05","H3237","Surigiva Cheese Stop","C3237","3237","Camembert Cheese",341,38,13,81,"No"
"2022-09-09","H3238","Caputo Brothers Creamery","C3238","3238","Bocconcini Cheese",259,25,9,54,"No"
"2022-07-03","H3239","Cheese Wheel Plaza","C3239","3239","Cottage Cheese",610,79,26,170,"No"
"2021-11-16","H3240","Popping Plaza","C3240","3240","Limburger Cheese",912,125,41,271,"Yes"
"2022-08-01","H3241","Caputo Brothers Creamery","C3241","3241","Bocconcini Cheese",248,24,8,50,"No"
"2022-04-14","H3242","Stonyman Gourmet Farmer","C3242","3242","Mozarilla Cheese",158,10,4,20,"No"
"2023-02-12","H3243","Quit Sausage Cheese","C3243","3243","Gorgonzola Cheese",717,95,31,206,"No"
"2022-06-02","H3244","The Flash Creamery","C3244","3244","Cheese Curds Cheese",404,47,16,102,"No"
"2022-12-13","H3245","Traditional goat cheese pizza","C3245","3245","Cottage Cheese",605,78,26,169,"No"
"2022-01-14","H3246","Traditional goat cheese pizza","C3246","3246","Cotija Cheese",580,74,24,161,"No"
"2022-10-18","H3247","International Cheese Market","C3247","3247","Farmer Made Organic Cheese",761,102,33,220,"No"
"2021-08-20","H3248","Trillium Go Cheese","C3248","3248","Creame Cheese",637,83,27,179,"No"
"2022-04-05","H3249","Cheese Lovers","C3249","3249","Monterey Jack Cheese",952,131,43,284,"Yes"
"2023-02-26","H3250","Popping Plaza","C3250","3250","Jarlsberg Cheese",892,121,40,264,"Yes"
"2022-09-08","H3251","Saputo Cheese USA Inc","C3251","3251","Asiago Cheese",209,18,6,37,"No"
"2022-10-14","H3252","Bielers Cheese","C3252","3252","Mozarilla Cheese",134,6,3,12,"No"
"2022-03-21","H3253","Surigiva Cheese Stop","C3253","3253","Camembert Cheese",330,36,12,77,"No"
"2022-06-30","H3254","Mary's Dairy Store","C3254","3254","Cheese Curds Cheese",419,50,17,107,"No"
"2021-09-03","H3255","International Cheese Market","C3255","3255","Farmer Made Organic Cheese",773,104,34,225,"No"
"2021-10-19","H3256","The Great Cheese","C3256","3256","Bocconcini Cheese",234,21,8,46,"No"
"2021-10-20","H3257","Anish's Bakery ","C3257","3257","Swiss Cheese",456,55,18,119,"No"
"2022-11-22","H3258","Caputo Brothers Creamery","C3258","3258","Bocconcini Cheese",242,23,8,48,"No"
"2022-08-15","H3259","Cheese Lovers","C3259","3259","Monterey Jack Cheese",967,133,43,289,"Yes"
"2022-06-15","H3260","Georges Mill Farm Artisan Cheese","C3260","3260","Blue Cheese",104,2,1,2,"No"
"2022-06-25","H3261","waldows Cheese","C3261","3261","Cheddar Mix Cheese",379,43,15,94,"No"
"2022-07-07","H3262","Caputo Brothers Creamery","C3262","3262","Bocconcini Cheese",242,23,8,48,"No"
"2022-01-18","H3263","Twin Oaks Cheese","C3263","3263"," Burrata Cheese",309,33,11,70,"No"
"2021-12-21","H3264","Saputo Cheese USA Inc","C3264","3264","Asiago Cheese",208,18,6,37,"No"
