"Received_Date","Quantity","Receiver_ID","Product_Desc","Location_from_ID","Location_to_ID","Subsequent_ID","Outbreak"
"2022-09-05",410,"R3103","Angel_Fish",48,13,"SHP3103","no"
"2023-02-11",631,"R3104","Gold Fish",82,7,"SHP3104","no"
"2021-12-11",553,"R3105","File_Fish",70,42,"SHP3105","no"
"2022-05-21",173,"R3106","Shrimp",12,49,"SHP3106","no"
"2021-12-24",252,"R3107","Lobster",24,36,"SHP3107","no"
"2023-01-28",102,"R3108","Salmon",1,14,"SHP3108","no"
"2021-12-09",628,"R3109","Gold Fish",81,6,"SHP3109","no"
"2021-11-06",534,"R3110","File_Fish",67,26,"SHP3110","no"
"2022-06-28",708,"R3111","Red_Snaper_Fish",94,8,"SHP3111","no"
"2023-01-08",742,"R3112","Jumbo Lump Crab MEat",99,41,"SHP3112","no"
"2022-08-10",760,"R3113","Jumbo Lump Crab MEat",102,24,"SHP3113","no"
"2022-07-19",136,"R3114","Salmon",7,33,"SHP3114","no"
"2021-08-30",755,"R3115","Jumbo Lump Crab MEat",101,44,"SHP3115","no"
"2022-05-17",846,"R3116","Cocktail Claws Carb Meat",115,49,"SHP3116","no"
"2022-09-30",124,"R3117","Salmon",5,24,"SHP3117","no"
"2022-01-09",992,"R3118","Item",137,11,"SHP3118","yes"
"2021-10-28",854,"R3119","Cocktail Claws Carb Meat",116,25,"SHP3119","no"
"2022-03-14",531,"R3120","File_Fish",67,45,"SHP3120","no"
"2021-09-04",473,"R3121","Ballon_Fish",58,9,"SHP3121","no"
"2021-12-19",331,"R3122","Tuna",36,26,"SHP3122","no"
"2022-12-24",262,"R3123","Lobster",26,18,"SHP3123","no"
"2021-11-26",752,"R3124","Jumbo Lump Crab MEat",100,37,"SHP3124","no"
"2022-06-01",829,"R3125","Cocktail Claws Carb Meat",112,43,"SHP3125","no"
"2022-09-17",437,"R3126","Ballon_Fish",52,36,"SHP3126","no"
"2022-07-29",292,"R3127","Tuna",30,29,"SHP3127","no"
"2021-09-12",552,"R3128","File_Fish",70,39,"SHP3128","no"
"2023-01-12",541,"R3129","File_Fish",68,7,"SHP3129","no"
"2022-06-26",339,"R3130","White_Fish",37,47,"SHP3130","no"
"2022-10-14",938,"R3131","COLOSSAL LUMP crab Meat",129,29,"SHP3131","yes"
"2022-10-30",715,"R3132","Red_Snaper_Fish",95,33,"SHP3132","no"
"2022-09-26",883,"R3133","Claws Crab Meat",120,19,"SHP3133","no"
"2023-03-13",599,"R3134","Frog_fish",77,42,"SHP3134","no"
"2022-07-14",593,"R3135","Frog_fish",76,19,"SHP3135","no"
"2022-10-13",613,"R3136","Frog_fish",79,32,"SHP3136","no"
"2022-03-11",136,"R3137","Salmon",7,38,"SHP3137","no"
"2021-12-31",597,"R3138","Frog_fish",77,27,"SHP3138","no"
"2022-01-30",556,"R3139","File_Fish",70,4,"SHP3139","no"
"2022-09-02",105,"R3140","Salmon",2,1,"SHP3140","no"
"2021-12-10",571,"R3141","File_Fish",73,17,"SHP3141","no"
"2022-08-21",532,"R3142","File_Fish",67,6,"SHP3142","no"
"2023-02-23",178,"R3143","Shrimp",13,8,"SHP3143","no"
"2022-06-24",617,"R3144","Frog_fish",80,3,"SHP3144","no"
"2022-01-12",654,"R3145","Gold Fish",85,31,"SHP3145","no"
"2022-10-18",959,"R3146","Item",132,3,"SHP3146","yes"
"2021-11-18",520,"R3147","Cat_Fish",65,20,"SHP3147","no"
"2022-06-03",327,"R3148","Tuna",35,27,"SHP3148","no"
"2021-11-17",381,"R3149","White_Fish",44,1,"SHP3149","no"
"2022-03-10",392,"R3150","Angel_Fish",45,36,"SHP3150","no"
"2022-04-19",193,"R3151","Shrimp",15,5,"SHP3151","no"
"2022-08-29",325,"R3152","Tuna",35,34,"SHP3152","no"
"2022-09-05",351,"R3153","White_Fish",39,10,"SHP3153","no"
"2022-03-27",916,"R3154","COLOSSAL LUMP crab Meat",125,11,"SHP3154","no"
"2021-12-10",465,"R3155","Ballon_Fish",56,35,"SHP3155","no"
"2023-03-12",788,"R3156","Lump Crab Meat",106,15,"SHP3156","no"
"2022-08-09",559,"R3157","File_Fish",71,3,"SHP3157","no"
"2023-03-17",839,"R3158","Cocktail Claws Carb Meat",113,32,"SHP3158","no"
"2022-01-29",317,"R3159","Tuna",34,13,"SHP3159","no"
"2022-06-09",780,"R3160","Lump Crab Meat",105,37,"SHP3160","no"
"2023-01-03",426,"R3161","Angel_Fish",51,30,"SHP3161","no"
"2022-04-21",703,"R3162","Red_Snaper_Fish",93,23,"SHP3162","no"
"2022-06-03",587,"R3163","Frog_fish",75,22,"SHP3163","no"
"2022-01-08",919,"R3164","COLOSSAL LUMP crab Meat",126,12,"SHP3164","yes"
"2022-07-10",471,"R3165","Ballon_Fish",57,32,"SHP3165","no"
"2022-11-12",977,"R3166","Item",135,14,"SHP3166","yes"
"2022-03-23",379,"R3167","White_Fish",43,45,"SHP3167","no"
"2021-12-19",504,"R3168","Cat_Fish",63,45,"SHP3168","no"
"2022-02-14",218,"R3169","Crab or Crab Meat",19,15,"SHP3169","no"
"2022-10-01",927,"R3170","COLOSSAL LUMP crab Meat",127,21,"SHP3170","yes"
"2021-11-30",739,"R3171","Jumbo Lump Crab MEat",98,14,"SHP3171","no"
"2022-03-06",557,"R3172","File_Fish",71,47,"SHP3172","no"
"2021-10-16",785,"R3173","Lump Crab Meat",105,47,"SHP3173","no"
"2023-01-19",710,"R3174","Red_Snaper_Fish",94,43,"SHP3174","no"
"2023-03-24",525,"R3175","Cat_Fish",66,13,"SHP3175","no"
"2022-06-04",451,"R3176","Ballon_Fish",54,48,"SHP3176","no"
"2021-10-30",869,"R3177","Claws Crab Meat",118,12,"SHP3177","no"
"2022-11-22",378,"R3178","White_Fish",43,4,"SHP3178","no"
"2021-10-19",802,"R3179","Lump Crab Meat",108,24,"SHP3179","no"
"2023-01-29",213,"R3180","Crab or Crab Meat",18,23,"SHP3180","no"
"2021-09-07",892,"R3181","Claws Crab Meat",122,42,"SHP3181","no"
"2022-04-29",961,"R3182","Item",132,18,"SHP3182","yes"
"2022-12-25",967,"R3183","Item",133,43,"SHP3183","yes"
"2021-11-14",469,"R3184","Ballon_Fish",57,26,"SHP3184","no"
"2022-02-24",980,"R3185","Item",135,2,"SHP3185","yes"
"2022-02-22",921,"R3186","COLOSSAL LUMP crab Meat",126,38,"SHP3186","yes"
"2023-03-11",795,"R3187","Lump Crab Meat",107,2,"SHP3187","no"
"2022-09-24",266,"R3188","Lobster",26,41,"SHP3188","no"
"2023-02-10",451,"R3189","Ballon_Fish",54,14,"SHP3189","no"
"2022-04-17",889,"R3190","Claws Crab Meat",121,7,"SHP3190","no"
"2022-12-24",775,"R3191","Lump Crab Meat",104,22,"SHP3191","no"
"2021-12-14",829,"R3192","Cocktail Claws Carb Meat",112,18,"SHP3192","no"
"2022-07-22",460,"R3193","Ballon_Fish",56,8,"SHP3193","no"
"2021-10-21",684,"R3194","Red_Snaper_Fish",90,14,"SHP3194","no"
"2021-10-15",310,"R3195","Tuna",33,23,"SHP3195","no"
"2022-02-11",166,"R3196","Shrimp",11,1,"SHP3196","no"
"2023-02-26",628,"R3197","Gold Fish",81,39,"SHP3197","no"
"2023-01-01",405,"R3198","Angel_Fish",47,16,"SHP3198","no"
"2022-04-27",829,"R3199","Cocktail Claws Carb Meat",112,31,"SHP3199","no"
"2022-10-17",991,"R3200","Item",137,10,"SHP3200","yes"
"2022-05-25",144,"R3201","Salmon",8,6,"SHP3201","no"
"2022-06-11",179,"R3202","Shrimp",13,9,"SHP3202","no"
"2022-06-08",677,"R3203","Red_Snaper_Fish",89,2,"SHP3203","no"
"2021-12-21",730,"R3204","Jumbo Lump Crab MEat",97,20,"SHP3204","no"
"2021-11-11",860,"R3205","Claws Crab Meat",117,39,"SHP3205","no"
"2022-03-14",365,"R3206","White_Fish",41,4,"SHP3206","no"
"2021-10-14",928,"R3207","COLOSSAL LUMP crab Meat",127,7,"SHP3207","yes"
"2021-09-16",638,"R3208","Gold Fish",83,15,"SHP3208","no"
"2021-11-03",324,"R3209","Tuna",35,16,"SHP3209","no"
"2023-01-16",321,"R3210","Tuna",35,30,"SHP3210","no"
"2022-10-24",882,"R3211","Claws Crab Meat",120,40,"SHP3211","no"
"2022-12-29",260,"R3212","Lobster",25,35,"SHP3212","no"
"2022-09-06",662,"R3213","Gold Fish",86,49,"SHP3213","no"
"2022-09-10",198,"R3214","Crab or Crab Meat",16,24,"SHP3214","no"
"2022-11-04",209,"R3215","Crab or Crab Meat",18,21,"SHP3215","no"
"2022-02-28",998,"R3216","Item",138,40,"SHP3216","yes"
"2022-11-05",632,"R3217","Gold Fish",82,44,"SHP3217","no"
"2022-04-01",348,"R3218","White_Fish",39,22,"SHP3218","no"
"2022-06-10",107,"R3219","Salmon",2,39,"SHP3219","no"
"2022-03-26",636,"R3220","Gold Fish",83,12,"SHP3220","no"
"2022-07-17",955,"R3221","Item",131,37,"SHP3221","yes"
"2022-06-17",185,"R3222","Shrimp",14,35,"SHP3222","no"
"2022-05-30",356,"R3223","White_Fish",40,21,"SHP3223","no"
"2023-02-27",217,"R3224","Crab or Crab Meat",19,47,"SHP3224","no"
"2022-11-12",356,"R3225","White_Fish",40,29,"SHP3225","no"
"2021-11-02",245,"R3226","Lobster",23,36,"SHP3226","no"
"2021-12-27",170,"R3227","Shrimp",12,50,"SHP3227","no"
"2021-12-31",144,"R3228","Salmon",8,47,"SHP3228","no"
"2022-11-20",501,"R3229","Cat_Fish",62,16,"SHP3229","no"
"2021-09-01",513,"R3230","Cat_Fish",64,25,"SHP3230","no"
"2021-08-28",463,"R3231","Ballon_Fish",56,15,"SHP3231","no"
"2023-02-01",168,"R3232","Shrimp",11,21,"SHP3232","no"
"2022-08-15",293,"R3233","Tuna",30,46,"SHP3233","no"
"2022-07-16",812,"R3234","Cocktail Claws Carb Meat",109,15,"SHP3234","no"
"2022-11-20",459,"R3235","Ballon_Fish",56,21,"SHP3235","no"
"2023-01-21",444,"R3236","Ballon_Fish",53,15,"SHP3236","no"
"2022-02-17",341,"R3237","White_Fish",38,22,"SHP3237","no"
"2022-09-29",259,"R3238","Lobster",25,30,"SHP3238","no"
"2022-07-20",610,"R3239","Frog_fish",79,12,"SHP3239","no"
"2021-11-25",912,"R3240","COLOSSAL LUMP crab Meat",125,36,"SHP3240","no"
"2022-08-20",248,"R3241","Lobster",24,46,"SHP3241","no"
"2022-04-29",158,"R3242","Shrimp",10,18,"SHP3242","no"
"2023-03-11",717,"R3243","Jumbo Lump Crab MEat",95,49,"SHP3243","no"
"2022-06-19",404,"R3244","Angel_Fish",47,20,"SHP3244","no"
"2023-01-06",605,"R3245","Frog_fish",78,24,"SHP3245","no"
"2022-01-26",580,"R3246","Frog_fish",74,3,"SHP3246","no"
"2022-11-09",761,"R3247","Jumbo Lump Crab MEat",102,27,"SHP3247","no"
"2021-08-26",637,"R3248","Gold Fish",83,49,"SHP3248","no"
"2022-04-20",952,"R3249","COLOSSAL LUMP crab Meat",131,45,"SHP3249","yes"
"2023-03-25",892,"R3250","Claws Crab Meat",121,27,"SHP3250","no"
"2022-09-28",209,"R3251","Crab or Crab Meat",18,49,"SHP3251","no"
"2022-11-05",134,"R3252","Salmon",6,28,"SHP3252","no"
"2022-04-04",330,"R3253","Tuna",36,19,"SHP3253","no"
"2022-07-18",419,"R3254","Angel_Fish",50,43,"SHP3254","no"
"2021-09-09",773,"R3255","Lump Crab Meat",104,44,"SHP3255","no"
"2021-10-27",234,"R3256","Crab or Crab Meat",21,42,"SHP3256","no"
"2021-10-28",456,"R3257","Ballon_Fish",55,28,"SHP3257","no"
"2022-12-15",242,"R3258","Crab or Crab Meat",23,12,"SHP3258","no"
"2022-09-03",967,"R3259","Item",133,44,"SHP3259","yes"
"2022-07-02",104,"R3260","Salmon",2,13,"SHP3260","no"
"2022-07-13",379,"R3261","White_Fish",43,37,"SHP3261","no"
"2022-07-25",242,"R3262","Lobster",23,27,"SHP3262","no"
"2022-01-29",309,"R3263","Tuna",33,5,"SHP3263","no"
"2021-12-31",208,"R3264","Crab or Crab Meat",18,12,"SHP3264","no"
"2023-01-10",515,"R3265","Cat_Fish",64,10,"SHP3265","no"
"2023-01-31",336,"R3266","Tuna",37,35,"SHP3266","no"
"2021-08-20",520,"R3267","Cat_Fish",65,8,"SHP3267","no"
"2022-01-03",244,"R3268","Lobster",23,24,"SHP3268","no"
"2022-01-14",790,"R3269","Lump Crab Meat",106,6,"SHP3269","no"
"2021-10-09",780,"R3270","Lump Crab Meat",105,6,"SHP3270","no"
"2023-03-08",359,"R3271","White_Fish",40,49,"SHP3271","no"
"2021-12-27",316,"R3272","Tuna",34,11,"SHP3272","no"
"2023-02-04",870,"R3273","Claws Crab Meat",118,34,"SHP3273","no"
"2021-09-13",514,"R3274","Cat_Fish",64,47,"SHP3274","no"
"2022-03-30",231,"R3275","Crab or Crab Meat",21,27,"SHP3275","no"
"2022-04-07",537,"R3276","File_Fish",67,24,"SHP3276","no"
"2022-08-08",269,"R3277","Lobster",27,10,"SHP3277","no"
"2022-01-05",131,"R3278","Salmon",6,4,"SHP3278","no"
"2022-11-27",236,"R3279","Crab or Crab Meat",22,19,"SHP3279","no"
"2021-08-06",880,"R3280","Claws Crab Meat",120,13,"SHP3280","no"
"2021-08-21",107,"R3281","Salmon",2,31,"SHP3281","no"
"2023-03-03",356,"R3282","White_Fish",40,30,"SHP3282","no"
"2022-01-07",705,"R3283","Red_Snaper_Fish",93,7,"SHP3283","no"
"2023-01-17",360,"R3284","White_Fish",41,39,"SHP3284","no"
"2022-10-24",411,"R3285","Angel_Fish",48,29,"SHP3285","no"
"2021-11-05",947,"R3286","COLOSSAL LUMP crab Meat",130,5,"SHP3286","yes"
"2022-07-11",297,"R3287","Tuna",31,42,"SHP3287","no"
"2021-12-29",428,"R3288","Angel_Fish",51,19,"SHP3288","no"
"2021-12-04",328,"R3289","Tuna",36,42,"SHP3289","no"
"2021-12-07",949,"R3290","COLOSSAL LUMP crab Meat",130,2,"SHP3290","yes"
"2022-05-19",952,"R3291","COLOSSAL LUMP crab Meat",131,10,"SHP3291","yes"
"2021-10-18",353,"R3292","White_Fish",40,37,"SHP3292","no"
"2022-02-12",324,"R3293","Tuna",35,6,"SHP3293","no"
"2022-06-16",920,"R3294","COLOSSAL LUMP crab Meat",126,21,"SHP3294","yes"
"2023-02-05",192,"R3295","Shrimp",15,7,"SHP3295","no"
"2023-02-06",756,"R3296","Jumbo Lump Crab MEat",101,19,"SHP3296","no"
"2022-10-21",581,"R3297","Frog_fish",74,5,"SHP3297","no"
"2022-06-12",237,"R3298","Crab or Crab Meat",22,30,"SHP3298","no"
"2022-12-04",206,"R3299","Crab or Crab Meat",17,4,"SHP3299","no"
"2022-10-11",891,"R3300","Claws Crab Meat",121,6,"SHP3300","no"
"2022-03-19",870,"R3301","Claws Crab Meat",118,6,"SHP3301","no"
"2022-10-05",326,"R3302","Tuna",35,27,"SHP3302","no"
"2022-04-29",662,"R3303","Gold Fish",87,11,"SHP3303","no"
"2021-10-11",103,"R3304","Salmon",1,40,"SHP3304","no"
"2021-08-23",130,"R3305","Salmon",6,23,"SHP3305","no"
"2021-08-30",104,"R3306","Salmon",2,42,"SHP3306","no"
"2021-12-22",631,"R3307","Gold Fish",82,14,"SHP3307","no"
"2022-11-23",506,"R3308","Cat_Fish",63,21,"SHP3308","no"
"2023-02-19",169,"R3309","Shrimp",11,2,"SHP3309","no"
"2022-06-22",306,"R3310","Tuna",32,17,"SHP3310","no"
"2022-03-09",920,"R3311","COLOSSAL LUMP crab Meat",126,26,"SHP3311","yes"
"2021-09-30",397,"R3312","Angel_Fish",46,28,"SHP3312","no"
"2022-02-04",548,"R3313","File_Fish",69,18,"SHP3313","no"
"2021-12-11",799,"R3314","Lump Crab Meat",107,37,"SHP3314","no"
"2022-04-15",373,"R3315","White_Fish",43,20,"SHP3315","no"
"2022-04-07",491,"R3316","Cat_Fish",61,49,"SHP3316","no"
"2022-11-07",918,"R3317","COLOSSAL LUMP crab Meat",125,9,"SHP3317","no"
"2021-08-19",886,"R3318","Claws Crab Meat",121,36,"SHP3318","no"
"2021-11-27",997,"R3319","Item",138,29,"SHP3319","yes"
"2021-08-31",713,"R3320","Red_Snaper_Fish",94,11,"SHP3320","no"
"2021-11-22",295,"R3321","Tuna",31,26,"SHP3321","no"
"2021-12-21",812,"R3322","Cocktail Claws Carb Meat",109,35,"SHP3322","no"
"2023-02-02",848,"R3323","Cocktail Claws Carb Meat",115,7,"SHP3323","no"
"2022-09-21",564,"R3324","File_Fish",72,7,"SHP3324","no"
"2022-10-15",825,"R3325","Cocktail Claws Carb Meat",111,40,"SHP3325","no"
"2022-08-08",762,"R3326","Jumbo Lump Crab MEat",102,39,"SHP3326","no"
"2022-03-24",637,"R3327","Gold Fish",83,17,"SHP3327","no"
"2022-08-19",639,"R3328","Gold Fish",83,14,"SHP3328","no"
"2023-03-16",876,"R3329","Claws Crab Meat",119,29,"SHP3329","no"
"2021-08-24",737,"R3330","Jumbo Lump Crab MEat",98,26,"SHP3330","no"
"2021-09-29",151,"R3331","Shrimp",9,46,"SHP3331","no"
"2022-03-22",382,"R3332","White_Fish",44,28,"SHP3332","no"
"2021-11-23",659,"R3333","Gold Fish",86,21,"SHP3333","no"
"2023-03-26",214,"R3334","Crab or Crab Meat",18,42,"SHP3334","no"
"2022-07-10",968,"R3335","Item",133,37,"SHP3335","yes"
"2022-01-04",556,"R3336","File_Fish",70,20,"SHP3336","no"
"2022-07-25",720,"R3337","Jumbo Lump Crab MEat",95,24,"SHP3337","no"
"2021-10-04",893,"R3338","Claws Crab Meat",122,40,"SHP3338","no"
"2021-12-20",545,"R3339","File_Fish",69,43,"SHP3339","no"
"2022-02-01",343,"R3340","White_Fish",38,19,"SHP3340","no"
"2021-12-23",760,"R3341","Jumbo Lump Crab MEat",101,17,"SHP3341","no"
"2023-01-02",613,"R3342","Frog_fish",79,27,"SHP3342","no"
"2022-11-24",985,"R3343","Item",136,25,"SHP3343","yes"
"2022-06-07",460,"R3344","Ballon_Fish",56,41,"SHP3344","no"
"2021-08-11",816,"R3345","Cocktail Claws Carb Meat",110,7,"SHP3345","no"
"2022-05-09",702,"R3346","Red_Snaper_Fish",93,25,"SHP3346","no"
"2022-02-18",560,"R3347","File_Fish",71,43,"SHP3347","no"
"2021-10-29",707,"R3348","Red_Snaper_Fish",93,39,"SHP3348","no"
"2023-01-23",269,"R3349","Lobster",27,35,"SHP3349","no"
"2022-08-27",533,"R3350","File_Fish",67,24,"SHP3350","no"
"2022-03-12",921,"R3351","COLOSSAL LUMP crab Meat",126,47,"SHP3351","yes"
"2021-11-19",102,"R3352","Salmon",1,42,"SHP3352","no"
"2023-01-13",485,"R3353","Cat_Fish",60,32,"SHP3353","no"
"2022-12-01",817,"R3354","Cocktail Claws Carb Meat",110,18,"SHP3354","no"
"2021-11-29",106,"R3355","Salmon",2,13,"SHP3355","no"
"2022-10-09",113,"R3356","Salmon",3,40,"SHP3356","no"
"2022-04-27",976,"R3357","Item",134,24,"SHP3357","yes"
"2021-09-17",398,"R3358","Angel_Fish",46,34,"SHP3358","no"
"2022-04-16",498,"R3359","Cat_Fish",62,27,"SHP3359","no"
"2022-11-19",713,"R3360","Red_Snaper_Fish",94,48,"SHP3360","no"
"2021-12-25",598,"R3361","Frog_fish",77,49,"SHP3361","no"
"2023-03-05",271,"R3362","Lobster",27,33,"SHP3362","no"
"2022-06-16",393,"R3363","Angel_Fish",46,19,"SHP3363","no"
"2022-07-28",195,"R3364","Shrimp",15,17,"SHP3364","no"
"2022-05-07",783,"R3365","Lump Crab Meat",105,21,"SHP3365","no"
"2023-03-23",810,"R3366","Lump Crab Meat",109,43,"SHP3366","no"
"2022-01-28",973,"R3367","Item",134,17,"SHP3367","yes"
"2022-02-20",738,"R3368","Jumbo Lump Crab MEat",98,50,"SHP3368","no"
