"Harvested_Date","IP_ID","Quantity","Ref_Person_Location_ID","IP_Date","Subsequent_ID","Outbreak"
"2022-09-23","3238",259,25,"2022-09-28","R3238","no"
"2022-07-14","3239",610,79,"2022-07-19","R3239","no"
"2021-11-20","3240",912,125,"2021-11-24","R3240","yes"
"2022-08-14","3241",248,24,"2022-08-19","R3241","no"
"2022-04-23","3242",158,10,"2022-04-28","R3242","no"
"2023-03-04","3243",717,95,"2023-03-10","R3243","no"
"2022-06-13","3244",404,47,"2022-06-18","R3244","no"
"2022-12-30","3245",605,78,"2023-01-05","R3245","no"
"2022-01-20","3246",580,74,"2022-01-25","R3246","no"
"2022-11-02","3247",761,102,"2022-11-08","R3247","no"
"2021-08-21","3248",637,83,"2021-08-25","R3248","no"
"2022-04-14","3249",952,131,"2022-04-19","R3249","yes"
"2023-03-18","3250",892,121,"2023-03-24","R3250","no"
"2022-09-22","3251",209,18,"2022-09-27","R3251","no"
"2022-10-30","3252",134,6,"2022-11-04","R3252","no"
"2022-03-29","3253",330,36,"2022-04-03","R3253","no"
"2022-07-12","3254",419,50,"2022-07-17","R3254","no"
"2021-09-04","3255",773,104,"2021-09-08","R3255","no"
"2021-10-22","3256",234,21,"2021-10-26","R3256","no"
"2021-10-22","3257",456,55,"2021-10-27","R3257","no"
"2022-12-09","3258",242,23,"2022-12-14","R3258","no"
"2022-08-28","3259",967,133,"2022-09-02","R3259","yes"
"2022-06-26","3260",104,2,"2022-07-01","R3260","no"
"2022-07-07","3261",379,43,"2022-07-12","R3261","no"
"2022-07-19","3262",242,23,"2022-07-24","R3262","no"
"2022-01-24","3263",309,33,"2022-01-28","R3263","no"
"2021-12-26","3264",208,18,"2021-12-30","R3264","no"
"2023-01-03","3265",515,64,"2023-01-09","R3265","no"
"2023-01-24","3266",336,37,"2023-01-30","R3266","no"
"2021-08-15","3267",520,65,"2021-08-19","R3267","no"
"2021-12-28","3268",244,23,"2022-01-02","R3268","no"
"2022-01-08","3269",790,106,"2022-01-13","R3269","no"
"2021-10-04","3270",780,105,"2021-10-08","R3270","no"
"2023-03-01","3271",359,40,"2023-03-07","R3271","no"
"2021-12-21","3272",316,34,"2021-12-26","R3272","no"
"2023-01-28","3273",870,118,"2023-02-03","R3273","no"
"2021-09-08","3274",514,64,"2021-09-12","R3274","no"
"2022-03-24","3275",231,21,"2022-03-29","R3275","no"
"2022-04-01","3276",537,67,"2022-04-06","R3276","no"
"2022-08-02","3277",269,27,"2022-08-07","R3277","no"
"2021-12-30","3278",131,6,"2022-01-04","R3278","no"
"2022-11-20","3279",236,22,"2022-11-26","R3279","no"
"2021-08-01","3280",880,120,"2021-08-05","R3280","no"
"2021-08-16","3281",107,2,"2021-08-20","R3281","no"
"2023-02-24","3282",356,40,"2023-03-02","R3282","no"
"2022-01-01","3283",705,93,"2022-01-06","R3283","no"
"2023-01-10","3284",360,41,"2023-01-16","R3284","no"
"2022-10-17","3285",411,48,"2022-10-23","R3285","no"
"2021-10-31","3286",947,130,"2021-11-04","R3286","yes"
"2022-07-05","3287",297,31,"2022-07-10","R3287","no"
"2021-12-24","3288",428,51,"2021-12-28","R3288","no"
"2021-11-29","3289",328,36,"2021-12-03","R3289","no"
"2021-12-01","3290",949,130,"2021-12-06","R3290","yes"
"2022-05-13","3291",952,131,"2022-05-18","R3291","yes"
"2021-10-13","3292",353,40,"2021-10-17","R3292","no"
"2022-02-06","3293",324,35,"2022-02-11","R3293","no"
"2022-06-10","3294",920,126,"2022-06-15","R3294","yes"
"2023-01-29","3295",192,15,"2023-02-04","R3295","no"
"2023-01-30","3296",756,101,"2023-02-05","R3296","no"
"2022-10-14","3297",581,74,"2022-10-20","R3297","no"
"2022-06-06","3298",237,22,"2022-06-11","R3298","no"
"2022-11-28","3299",206,17,"2022-12-03","R3299","no"
"2022-10-05","3300",891,121,"2022-10-10","R3300","no"
"2022-03-13","3301",870,118,"2022-03-18","R3301","no"
"2022-09-29","3302",326,35,"2022-10-04","R3302","no"
"2022-04-23","3303",662,87,"2022-04-28","R3303","no"
"2021-10-05","3304",103,1,"2021-10-10","R3304","no"
"2021-08-18","3305",130,6,"2021-08-22","R3305","no"
"2021-08-25","3306",104,2,"2021-08-29","R3306","no"
"2021-12-16","3307",631,82,"2021-12-21","R3307","no"
"2022-11-16","3308",506,63,"2022-11-22","R3308","no"
"2023-02-12","3309",169,11,"2023-02-18","R3309","no"
"2022-06-16","3310",306,32,"2022-06-21","R3310","no"
"2022-03-03","3311",920,126,"2022-03-08","R3311","yes"
"2021-09-25","3312",397,46,"2021-09-29","R3312","no"
"2022-01-30","3313",548,69,"2022-02-03","R3313","no"
"2021-12-06","3314",799,107,"2021-12-10","R3314","no"
"2022-04-09","3315",373,43,"2022-04-14","R3315","no"
"2022-04-01","3316",491,61,"2022-04-06","R3316","no"
"2022-11-01","3317",918,125,"2022-11-06","R3317","yes"
"2021-08-14","3318",886,121,"2021-08-18","R3318","no"
"2021-11-21","3319",997,138,"2021-11-26","R3319","yes"
"2021-08-26","3320",713,94,"2021-08-30","R3320","no"
"2021-11-16","3321",295,31,"2021-11-21","R3321","no"
"2021-12-16","3322",812,109,"2021-12-20","R3322","no"
"2023-01-26","3323",848,115,"2023-02-01","R3323","no"
"2022-09-15","3324",564,72,"2022-09-20","R3324","no"
"2022-10-09","3325",825,111,"2022-10-14","R3325","no"
"2022-08-02","3326",762,102,"2022-08-07","R3326","no"
"2022-03-19","3327",637,83,"2022-03-23","R3327","no"
"2022-08-13","3328",639,83,"2022-08-18","R3328","no"
"2023-03-09","3329",876,119,"2023-03-15","R3329","no"
"2021-08-19","3330",737,98,"2021-08-23","R3330","no"
"2021-09-23","3331",151,9,"2021-09-28","R3331","no"
"2022-03-16","3332",382,44,"2022-03-21","R3332","no"
"2021-11-18","3333",659,86,"2021-11-22","R3333","no"
"2023-03-19","3334",214,18,"2023-03-25","R3334","no"
"2022-07-04","3335",968,133,"2022-07-09","R3335","yes"
"2021-12-30","3336",556,70,"2022-01-03","R3336","no"
"2022-07-19","3337",720,95,"2022-07-24","R3337","no"
"2021-09-29","3338",893,122,"2021-10-03","R3338","no"
"2021-12-15","3339",545,69,"2021-12-19","R3339","no"
"2022-01-26","3340",343,38,"2022-01-31","R3340","no"
"2021-12-18","3341",760,101,"2021-12-22","R3341","no"
"2022-12-26","3342",613,79,"2023-01-01","R3342","no"
"2022-11-18","3343",985,136,"2022-11-23","R3343","yes"
"2022-06-01","3344",460,56,"2022-06-06","R3344","no"
"2021-08-06","3345",816,110,"2021-08-10","R3345","no"
"2022-05-03","3346",702,93,"2022-05-08","R3346","no"
"2022-02-12","3347",560,71,"2022-02-17","R3347","no"
"2021-10-24","3348",707,93,"2021-10-28","R3348","no"
"2023-01-16","3349",269,27,"2023-01-22","R3349","no"
"2022-08-21","3350",533,67,"2022-08-26","R3350","no"
"2022-03-06","3351",921,126,"2022-03-11","R3351","yes"
"2021-11-14","3352",102,1,"2021-11-18","R3352","no"
"2023-01-07","3353",485,60,"2023-01-12","R3353","no"
"2022-11-24","3354",817,110,"2022-11-30","R3354","no"
"2021-11-23","3355",106,2,"2021-11-28","R3355","no"
"2022-10-03","3356",113,3,"2022-10-08","R3356","no"
"2022-04-21","3357",976,134,"2022-04-26","R3357","yes"
"2021-09-12","3358",398,46,"2021-09-16","R3358","no"
"2022-04-10","3359",498,62,"2022-04-15","R3359","no"
"2022-11-13","3360",713,94,"2022-11-18","R3360","no"
"2021-12-20","3361",598,77,"2021-12-24","R3361","no"
"2023-02-26","3362",271,27,"2023-03-04","R3362","no"
"2022-06-10","3363",393,46,"2022-06-15","R3363","no"
"2022-07-21","3364",195,15,"2022-07-27","R3364","no"
"2022-05-01","3365",783,105,"2022-05-06","R3365","no"
"2023-03-16","3366",810,109,"2023-03-22","R3366","no"
"2022-01-23","3367",973,134,"2022-01-27","R3367","yes"
"2022-02-14","3368",738,98,"2022-02-19","R3368","no"
"2021-08-07","3369",250,24,"2021-08-11","R3369","no"
"2022-12-12","3370",888,121,"2022-12-17","R3370","no"
"2022-07-17","3371",493,61,"2022-07-22","R3371","no"
"2023-02-04","3372",713,94,"2023-02-10","R3372","no"
"2022-08-26","3373",727,97,"2022-08-31","R3373","no"
"2021-08-30","3374",645,84,"2021-09-03","R3374","no"
"2022-11-30","3375",333,36,"2022-12-05","R3375","no"
"2022-07-05","3376",701,92,"2022-07-11","R3376","no"
"2021-09-19","3377",152,9,"2021-09-23","R3377","no"
"2021-11-05","3378",857,116,"2021-11-10","R3378","no"
"2022-11-13","3379",701,93,"2022-11-18","R3379","no"
"2022-09-27","3380",451,54,"2022-10-02","R3380","no"
"2021-08-13","3381",236,22,"2021-08-17","R3381","no"
"2022-09-20","3382",316,34,"2022-09-26","R3382","no"
"2021-11-25","3383",895,122,"2021-11-29","R3383","no"
"2022-08-05","3384",175,12,"2022-08-10","R3384","no"
"2022-06-29","3385",110,3,"2022-07-04","R3385","no"
"2022-08-17","3386",991,137,"2022-08-23","R3386","yes"
"2021-10-28","3387",584,75,"2021-11-01","R3387","no"
"2021-08-07","3388",446,54,"2021-08-11","R3388","no"
"2022-07-25","3389",483,59,"2022-07-30","R3389","no"
"2022-02-22","3390",529,66,"2022-02-27","R3390","no"
"2022-07-16","3391",218,19,"2022-07-21","R3391","no"
"2022-09-02","3392",627,81,"2022-09-08","R3392","no"
"2022-02-01","3393",697,92,"2022-02-06","R3393","no"
"2022-09-11","3394",598,77,"2022-09-17","R3394","no"
"2022-04-06","3395",503,62,"2022-04-11","R3395","no"
"2022-03-16","3396",958,132,"2022-03-20","R3396","yes"
"2022-03-28","3397",876,119,"2022-04-02","R3397","no"
"2022-07-18","3398",592,76,"2022-07-23","R3398","no"
"2022-04-30","3399",338,37,"2022-05-05","R3399","no"
"2022-04-10","3400",262,26,"2022-04-15","R3400","no"
"2022-01-28","3401",535,67,"2022-02-02","R3401","no"
"2022-10-26","3402",645,84,"2022-11-01","R3402","no"
"2022-02-18","3403",370,42,"2022-02-22","R3403","no"
"2022-10-26","3404",889,121,"2022-10-31","R3404","no"
"2022-01-16","3405",906,124,"2022-01-20","R3405","no"
"2022-01-21","3406",552,70,"2022-01-26","R3406","no"
"2023-03-08","3407",368,42,"2023-03-14","R3407","no"
"2022-06-14","3408",484,60,"2022-06-19","R3408","no"
"2022-01-17","3409",652,85,"2022-01-22","R3409","no"
"2021-12-31","3410",593,76,"2022-01-05","R3410","no"
"2022-09-01","3411",371,42,"2022-09-06","R3411","no"
"2023-03-07","3412",511,64,"2023-03-13","R3412","no"
"2023-02-22","3413",917,125,"2023-02-27","R3413","yes"
"2021-10-17","3414",860,117,"2021-10-21","R3414","no"
"2022-01-02","3415",747,100,"2022-01-07","R3415","no"
"2021-09-25","3416",655,86,"2021-09-29","R3416","no"
"2022-08-06","3417",567,72,"2022-08-12","R3417","no"
"2021-12-27","3418",728,97,"2022-01-01","R3418","no"
"2021-11-17","3419",548,69,"2021-11-22","R3419","no"
"2022-04-21","3420",467,57,"2022-04-25","R3420","no"
"2021-08-25","3421",993,137,"2021-08-29","R3421","yes"
"2022-08-06","3422",700,92,"2022-08-11","R3422","no"
"2023-03-11","3423",811,109,"2023-03-17","R3423","no"
"2022-09-25","3424",316,34,"2022-10-01","R3424","no"
"2022-09-05","3425",728,97,"2022-09-10","R3425","no"
"2022-02-21","3426",424,50,"2022-02-26","R3426","no"
"2023-01-27","3427",850,115,"2023-02-01","R3427","no"
"2022-04-29","3428",147,8,"2022-05-03","R3428","no"
"2021-08-20","3429",972,134,"2021-08-24","R3429","yes"
"2022-09-03","3430",833,113,"2022-09-08","R3430","no"
"2022-12-26","3431",422,50,"2023-01-01","R3431","no"
"2022-05-03","3432",393,46,"2022-05-08","R3432","no"
"2022-06-07","3433",909,124,"2022-06-12","R3433","no"
"2021-11-03","3434",108,2,"2021-11-07","R3434","no"
"2021-09-22","3435",771,103,"2021-09-26","R3435","no"
"2021-09-21","3436",556,70,"2021-09-25","R3436","no"
"2021-08-02","3437",319,34,"2021-08-06","R3437","no"
"2022-05-19","3438",827,112,"2022-05-24","R3438","no"
"2022-09-10","3439",389,45,"2022-09-15","R3439","no"
"2022-05-29","3440",518,65,"2022-06-03","R3440","no"
"2022-04-15","3441",629,82,"2022-04-19","R3441","no"
"2022-10-30","3442",512,64,"2022-11-05","R3442","no"
"2022-01-29","3443",651,85,"2022-02-03","R3443","no"
"2023-02-06","3444",826,112,"2023-02-12","R3444","no"
"2021-11-16","3445",430,51,"2021-11-20","R3445","no"
"2022-01-02","3446",586,75,"2022-01-06","R3446","no"
"2022-02-25","3447",259,25,"2022-03-02","R3447","no"
"2022-07-30","3448",627,81,"2022-08-04","R3448","no"
"2022-04-26","3449",662,87,"2022-05-01","R3449","no"
"2021-10-06","3450",238,22,"2021-10-11","R3450","no"
"2022-11-07","3451",603,77,"2022-11-12","R3451","no"
"2023-02-21","3452",247,23,"2023-02-27","R3452","no"
"2022-12-29","3453",449,54,"2023-01-04","R3453","no"
"2021-09-27","3454",107,2,"2021-10-02","R3454","no"
"2022-05-09","3455",365,41,"2022-05-14","R3455","no"
"2023-03-14","3456",816,110,"2023-03-20","R3456","no"
"2022-03-07","3457",438,52,"2022-03-11","R3457","no"
"2022-09-05","3458",965,133,"2022-09-11","R3458","yes"
"2022-08-30","3459",480,59,"2022-09-04","R3459","no"
"2021-08-05","3460",800,107,"2021-08-09","R3460","no"
"2022-11-25","3461",409,48,"2022-11-30","R3461","no"
